,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,40.938014901627206,39.10096491515141,42.77940603153415,45.7856749050927,45.67613288792333,45.895475781635405,13.276310193280091,15.222902196925261,11.325118186830448
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",81.61541381928626,97.74842389672772,74.15683553088134,12.699316628701595,2.2515761032722907,17.529493407356004,5.685269552012149,0.0,8.313671061762665
2,Tompkins County PUMA,79.97071265863977,69.84255147355672,86.80839465794494,20.029287341360234,30.157448526443275,13.191605342055057,0.0,0.0,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,29.083125609623927,24.922526817640048,32.5516693163752,55.81445757017449,62.526817640047675,50.21860095389508,15.102416820201583,12.550655542312278,17.22972972972973
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",32.909849213987805,34.270041814666605,31.67577710695929,56.78750935728799,55.36171934715166,58.08109651627641,10.3026414287242,10.368238838181737,10.243126376764298
5,Madison & Cortland Counties PUMA,49.920760697305866,52.61707988980716,46.26865671641791,47.70206022187005,47.38292011019284,48.134328358208954,2.3771790808240887,0.0,5.597014925373134
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,16.765532313456134,14.611631280495846,18.702561669829223,61.52981579768967,54.397995516286436,67.94354838709677,21.704651888854197,30.990373203217725,13.353889943074005
7,Dutchess County (Southwest) PUMA,51.28234226055379,43.0835734870317,61.35558927668184,35.95097594189741,41.99258954302182,28.528072837632777,12.766681797548799,14.92383696994648,10.116337885685383
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15.196289905090596,11.688764829030006,18.22843354112206,67.8062985332183,69.24866247964643,66.55942087271265,16.997411561691113,19.062572691323567,15.212145586165294
9,Dutchess County (North & East) PUMA,23.868825238688252,13.258928571428571,33.087664856477886,59.85886259858862,61.919642857142854,58.06826997672614,16.27231216272312,24.821428571428573,8.844065166795966
10,Erie County (Central) PUMA,35.74935027432862,31.71182266009852,39.31484502446982,55.472133987871786,57.57389162561576,53.61609570418706,8.778515737799596,10.714285714285714,7.0690592713431215
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,22.996755481270277,14.919043947571318,31.406783062412202,55.11749090551569,56.1680801850424,54.02368051374674,21.88575361321404,28.91287586738628,14.56953642384106
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",47.701863354037265,48.014440433213,47.53787878787879,23.850931677018632,12.996389891696749,29.545454545454547,28.4472049689441,38.98916967509025,22.916666666666664
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,34.749292020656334,35.69987295418878,33.55281723262158,44.74845910378144,44.11478962708318,45.5460445865864,20.502248875562216,20.185337418728047,20.901138180792024
14,Westchester County (Northeast) PUMA,52.54006494186656,42.58048898571774,60.13663220088626,34.209699382004814,26.797385620915033,39.86336779911374,13.250235676128627,30.622125393367224,0.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,59.68610698365527,57.26753944276602,62.68191268191268,24.154903417533433,20.17455521987244,29.085239085239085,16.158989598811292,22.557905337361532,8.232848232848234
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,18.285714285714285,5.825242718446602,29.373650107991363,54.400000000000006,83.49514563106796,28.509719222462206,27.314285714285713,10.679611650485436,42.11663066954643
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,36.29441624365482,39.599483204134366,33.733733733733736,45.318668922729834,56.395348837209305,36.73673673673674,18.386914833615343,4.0051679586563305,29.52952952952953
18,Niagara County (North & East) PUMA,0.0,0.0,0.0,37.11340206185567,0.0,54.752851711026615,62.88659793814433,100.0,45.247148288973385
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",32.18731475992887,31.08303001167502,33.48081409379776,59.458358032009485,58.65668566719319,60.397393612742334,8.354327208061648,10.26028432113179,6.121792293459899
20,"Chenango, Delaware & Broome (East) Counties PUMA",68.94093686354378,81.31212723658051,55.94989561586638,26.985743380855396,10.73558648111332,44.05010438413361,4.0733197556008145,7.952286282306163,0.0
21,Oswego County PUMA,51.33470225872689,6.790123456790123,95.69672131147541,48.6652977412731,93.20987654320987,4.30327868852459,0.0,0.0,0.0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",25.471070716027487,15.322783220296406,33.48541955961119,53.31412103746398,53.90605375533786,52.8466574092442,21.214808246508536,30.771163024365737,13.667923031144614
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,36.812778603268946,40.40822152440765,32.90982336535482,50.35661218424963,41.99257779046531,59.436008676789584,12.830609212481425,17.599200685127034,7.654167957855594
24,Ontario & Yates Counties PUMA,25.623387790197764,41.451990632318505,16.440217391304348,66.80997420464317,58.548009367681495,71.60326086956522,7.566638005159071,0.0,11.956521739130435
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",43.64074743821579,41.90990382993082,45.037440435670526,44.50723327305606,48.45621731061245,41.32062627637849,11.85201928872815,9.633878859456724,13.641933287950986
26,Erie County (Northwest) PUMA,31.009615384615387,25.571895424836597,38.78504672897196,62.40384615384615,74.4281045751634,45.21028037383177,6.586538461538462,0.0,16.00467289719626
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,38.12394409460912,31.493555724033357,44.92764898086199,45.1428352019659,49.7573919636088,40.40765520460557,16.733220703424973,18.749052312357847,14.664695814532442
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",25.70080226521944,32.84463061690784,18.67864495601722,59.08447380840018,51.961157654226966,66.0864682762493,15.214723926380369,15.194211728865195,15.234886767733483
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",84.2518837459634,88.38200810061821,80.03913894324853,10.193756727664155,1.9292261777872521,18.62361382909328,5.554359526372443,9.688765721594542,1.3372472276581866
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",26.332366763323666,28.194662480376763,24.629080118694365,49.55504449555044,57.41496598639456,42.36622953958074,24.112588741125887,14.390371533228677,33.004690341724896
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,44.66615502686109,39.24568239765238,50.822269573294,42.890764901509336,47.26030692259585,37.92820849041141,12.443080071629572,13.494010679751767,11.249521936294595
32,Erie County (West Central)--Buffalo City (West) PUMA,45.887622149837135,51.939655172413794,40.47067901234568,42.71172638436482,40.0,45.13888888888889,11.400651465798045,8.060344827586206,14.390432098765432
33,Schenectady County--Schenectady City PUMA,50.18090731978848,43.37137840210711,61.97718631178707,31.060395212914,30.816505706760317,31.482889733840302,18.758697467297523,25.81211589113257,6.539923954372624
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,67.19096145325653,59.7861459786146,73.93144308082945,27.90208241027913,40.2138540213854,16.694879390605163,4.906956136464333,0.0,9.373677528565382
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",44.44444444444444,61.65413533834586,0.0,55.55555555555556,38.34586466165413,100.0,0.0,0.0,0.0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,43.267079110175075,39.82325324495996,46.403420523138834,41.37159405028301,43.04059652029826,39.851609657947684,15.361326839541926,17.136150234741784,13.74496981891348
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,34.068322981366464,37.040869115364714,29.603729603729604,35.93167701863354,22.193481634764613,56.56565656565656,30.0,40.76564924987067,13.83061383061383
38,Erie County (Northeast) PUMA,59.25531914893617,64.30260047281324,55.12572533849129,40.74468085106383,35.69739952718676,44.87427466150871,0.0,0.0,0.0
39,Monroe County (North & West) PUMA,32.9938900203666,0.0,51.347068145800314,67.0061099796334,100.0,48.652931854199686,0.0,0.0,0.0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,28.67899819937797,25.573135292218275,31.872509960159363,54.41152398101162,53.63254762673555,55.21248339973439,16.909477819610412,20.794317081046174,12.915006640106242
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",34.70898745458285,40.22857142857143,28.233015494636472,51.47048742030576,41.63809523809524,63.00655542312277,13.820525125111399,18.133333333333333,8.760429082240764
42,Erie County (West Central)--Buffalo City (East) PUMA,54.31392931392931,42.20679012345679,79.29936305732484,39.03326403326403,54.24382716049383,7.643312101910828,6.652806652806653,3.5493827160493825,13.05732484076433
43,Suffolk County (Northwest)--Smithtown Town PUMA,35.188575613328446,53.73537353735374,22.469135802469136,55.80373489564262,46.26462646264626,62.34567901234568,9.007689491028927,0.0,15.185185185185185
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,57.54913076341648,50.48938134810711,64.94486360998259,20.03968253968254,18.614958448753463,21.532211259431225,22.411186696900984,30.89566020313943,13.522925130586186
45,NYC-Manhattan Community District 8--Upper East Side PUMA,90.90600178396976,94.39609424750583,88.57729622547978,9.093998216030243,5.603905752494163,11.422703774520219,0.0,0.0,0.0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,36.45116918844566,38.50931677018634,33.89830508474576,39.59193030719853,34.78260869565217,45.557267591165896,23.9569005043558,26.70807453416149,20.54442732408834
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",73.58765642084802,73.01967038809144,74.06578652942493,21.917142510023083,19.457735247208934,23.98746923249049,4.495201069128902,7.522594364699628,1.9467442380845825
48,Erie County (South) PUMA,45.32535527299925,44.97549019607843,45.87332053742802,50.33657442034405,55.024509803921575,42.994241842610364,4.338070306656694,0.0,11.132437619961612
49,Albany County (Outside Albany City) PUMA,65.8119658119658,80.53364269141531,46.55538694992413,30.703484549638393,16.54292343387471,49.226100151745065,3.4845496383957926,2.923433874709977,4.218512898330804
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,38.71810218183796,36.569960389679906,40.93826067714096,48.86555307688123,51.653998501231136,45.98362469572914,12.41634474128081,11.776041109088963,13.078114627129898
51,Erie County (North Central) PUMA,77.323991797676,93.63762102351313,67.71653543307087,14.114832535885165,6.36237897648686,18.680423567743688,8.561175666438825,0.0,13.603040999185447
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",48.19190129290543,43.53766617429837,53.50766202727401,46.20988383540067,51.14475627769571,40.573597638127374,5.598214871693903,5.317577548005908,5.918740334598622
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",24.801618173331256,18.13161221638166,30.661756108967612,55.09569005756963,57.149510945505355,53.291242838770025,20.102691769099113,24.718876838112983,16.047001052262363
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,69.88994611945432,70.57239057239057,69.38429298473207,26.315487790897627,27.878787878787882,25.15716994311945,3.794566089648057,1.5488215488215489,5.458537072148488
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",32.110818778330746,26.011560693641616,37.799424125467134,57.7899641804292,62.204414083026805,53.672731728236236,10.099217041240054,11.784025223331582,8.527844146296637
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",53.10634608330277,52.47357604227834,53.63319684654403,39.053589888951876,38.0064591896653,39.92544154494897,7.840064027745357,9.519964768056372,6.441361608506997
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",30.764000194278495,32.69689737470167,28.406640793445447,52.16863373646121,47.92716344028993,57.341526520051744,17.067366069260284,19.3759391850084,14.251832686502802
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,78.45546292233436,88.66913885455294,66.823087752229,21.544537077665645,11.330861145447054,33.176912247771,0.0,0.0,0.0
59,Albany County (East Central)--Albany City PUMA,57.368976433345054,52.91925465838509,59.12659470068695,20.330636651424552,6.211180124223603,25.90775269872424,22.30038691523039,40.869565217391305,14.965652600588813
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,54.84837139648072,56.73180158900579,53.39306454289032,37.54211905653314,34.16362465106292,40.15264642442343,7.609509546986147,9.104573759931286,6.454289032686244
61,Rensselaer County--Troy City PUMA,54.89985693848355,38.80503144654088,76.11940298507463,27.5035765379113,38.36477987421384,13.184079601990051,17.59656652360515,22.830188679245282,10.696517412935323
62,Warren & Washington Counties PUMA,38.329979879275655,44.9244060475162,32.580037664783426,50.10060362173038,30.237580993520517,67.41996233521658,11.569416498993963,24.838012958963283,0.0
63,Orange County (Northeast)--Greater Newburgh City PUMA,32.10578348986653,29.957805907172997,34.0,36.70291646070193,29.166666666666668,43.348837209302324,31.191300049431536,40.87552742616033,22.651162790697672
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",48.656881750207695,49.150849150849155,48.30528561270444,41.44281362503462,37.46253746253746,44.275894761791896,9.900304624757684,13.386613386613385,7.418819625503674
65,Fulton & Montgomery Counties PUMA,66.66666666666666,79.3859649122807,60.0,33.33333333333333,20.614035087719298,40.0,0.0,0.0,0.0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,51.72227475347832,51.04669887278583,52.36241186993581,37.414561664190195,34.88811149980565,39.808481532147745,10.863163582331488,14.065189627408516,7.829106597916448
67,Monroe County (Central)--Rochester City (East) PUMA,16.407528641571194,5.301455301455301,23.616734143049932,60.51554828150573,58.939708939708936,61.53846153846154,23.076923076923077,35.75883575883576,14.84480431848853
68,Chautauqua County PUMA,25.188916876574307,9.72644376899696,100.0,59.44584382871536,71.73252279635258,0.0,15.365239294710328,18.541033434650455,0.0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,58.06255693896143,50.636556532282505,65.51566778217219,39.204372912238085,48.78751136708093,29.586248859142074,2.733070148800486,0.5759321006365565,4.8980833586857315
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",42.913608130999435,27.125941872981702,60.33254156769596,20.7227555053642,13.670613562970937,28.50356294536817,36.36363636363637,59.20344456404736,11.163895486935866
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,57.97044022665134,53.25020112630732,62.55172952291716,37.65899274874192,41.81818181818181,33.622237838681976,4.370567024606728,4.931617055510861,3.8260326384008745
72,Monroe County (Central)--Rochester City (West) PUMA,29.807029634734665,32.04030226700252,24.972737186477644,62.19848380427292,56.272040302267,75.02726281352236,7.994486560992418,11.687657430730479,0.0
73,Orange County (Southeast) PUMA,43.709244342155735,49.23134608173979,37.926972909305064,41.31185270425777,30.25871766029246,52.88574793875147,14.978902953586498,20.50993625796775,9.187279151943462
74,Rockland County (North)--New City & Congers PUMA,39.89627165084646,36.78965224766751,42.55860439760131,45.728544867403855,46.670907548770145,44.92095220788661,14.375183481749682,16.539440203562343,12.520443394512085
75,Westchester County (Southeast) PUMA,42.223332778055415,44.88528203586815,38.913801694070756,41.60697429063246,36.73980563069833,47.658196312904835,16.16969293131212,18.374912333433524,13.428001993024413
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",44.47069411632354,49.51251938843341,39.27102376599635,34.58206772415345,31.985375581653003,37.26005484460695,20.947238159523007,18.502105029913583,23.46892138939671
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,44.33750823994727,36.31742445636826,51.36003956478734,42.7027027027027,43.659983055634,41.86449060336301,12.959789057350033,20.02259248799774,6.775469831849653
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,45.51220806794055,42.06671706671707,49.92734318236861,42.0859872611465,45.16632016632017,38.13877452167595,12.40180467091295,12.766962766962767,11.933882295955438
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",33.896526972558114,31.90930003286231,35.916276998441326,56.84942852410138,57.53094533902947,56.15675796036518,9.254044503340511,10.559754628108227,7.926965041193498
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,67.37089201877934,64.91116751269035,70.1280227596017,27.833668678739098,30.583756345177665,24.751066856330013,4.795439302481555,4.50507614213198,5.120910384068279
81,Wayne & Seneca Counties PUMA,58.11209439528023,85.61064087061668,15.122873345935728,31.12094395280236,5.562273276904474,71.07750472589792,10.766961651917404,8.827085852478838,13.799621928166353
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",25.885465144760694,30.420535226652103,20.600403097485945,50.105325037966,46.24066994356454,54.60910151691949,24.009209817273305,23.33879482978336,24.790495385594568
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,39.71137277426766,38.69137670196672,41.06070713809206,50.80413555427915,51.638930912758454,49.69979986657772,9.484491671453188,9.669692385274836,9.23949299533022
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,37.099874634350186,33.50033400133601,40.70603981930734,53.44755536982867,55.52772211088845,51.36356031453907,9.452569995821145,10.97194388777555,7.930399866153588
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",36.702636251878154,30.586968228325258,42.99972276129748,57.014069116240954,58.40064620355412,55.58635985583587,6.283294631880891,11.012385568120624,1.4139173828666483
