,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,65.42297437453315,67.59036093327944,63.385616137640824,34.577025625466845,32.409639066720544,36.614383862359176
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",95.10742011193356,91.46073585941791,96.89349112426035,4.892579888066438,8.539264140582098,3.106508875739645
2,Tompkins County PUMA,93.2200819050508,84.7127222982216,100.0,6.779918094949188,15.287277701778384,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,70.32238396463684,65.39360872954015,75.03728004771845,29.677616035363158,34.60639127045986,24.96271995228154
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",47.770603020209656,48.367875084270274,47.241332793740725,52.229396979790344,51.632124915729726,52.75866720625927
5,Madison & Cortland Counties PUMA,53.61087510620221,49.5225102319236,60.36036036036037,46.38912489379779,50.4774897680764,39.63963963963964
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,73.14789440029232,77.61514841351075,69.54800395908941,26.85210559970768,22.38485158648925,30.45199604091059
7,Dutchess County (Southwest) PUMA,87.90901835594573,93.60308285163777,81.79561439801407,12.09098164405427,6.396917148362236,18.204385601985933
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",54.47868621287347,56.23283191628515,53.048162568670335,45.52131378712653,43.76716808371485,46.951837431329665
9,Dutchess County (North & East) PUMA,82.9402651058702,77.58919293384136,88.22724161533196,17.0597348941298,22.410807066158643,11.772758384668036
10,Erie County (Central) PUMA,73.88521442287177,84.627410109432,66.4378612716763,26.114785577128224,15.372589890568003,33.562138728323696
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,62.1167704898009,65.1676925009421,59.22976346130988,37.883229510199094,34.832307499057904,40.77023653869013
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",80.58058058058059,77.15877437325905,82.5,19.41941941941942,22.841225626740947,17.5
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,42.11080128373757,45.99546267014987,38.06437752873357,57.88919871626243,54.00453732985013,61.93562247126643
14,Westchester County (Northeast) PUMA,77.8330344040437,73.84697890597069,81.17505995203837,22.166965595956302,26.153021094029317,18.82494004796163
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,84.54773869346734,92.21482742609504,76.65338645418328,15.452261306532664,7.785172573904968,23.346613545816734
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,85.03401360544217,100.0,75.04051863857374,14.965986394557824,0.0,24.959481361426256
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,95.19463087248322,89.63520555877244,100.0,4.805369127516778,10.364794441227563,0.0
18,Niagara County (North & East) PUMA,90.02320185614849,100.0,85.94771241830065,9.976798143851507,0.0,14.052287581699346
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",87.75888415645218,92.17572956890548,83.09491978609626,12.24111584354781,7.8242704310945115,16.90508021390374
20,"Chenango, Delaware & Broome (East) Counties PUMA",73.89014296463506,84.39597315436241,65.34788540245566,26.109857035364936,15.604026845637584,34.65211459754434
21,Oswego County PUMA,99.79508196721312,100.0,99.59183673469387,0.20491803278688525,0.0,0.40816326530612246
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",90.102866273844,92.00369771204068,88.65634892718958,9.897133726155998,7.996302287959326,11.343651072810411
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,74.29076056959929,80.31640490656883,68.69611495476317,25.709239430400704,19.68359509343116,31.30388504523683
24,Ontario & Yates Counties PUMA,71.79012345679013,76.52329749103941,69.30320150659134,28.209876543209877,23.476702508960575,30.69679849340866
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",66.9694217378141,75.80253229313212,61.21343445287108,33.03057826218589,24.197467706867887,38.78656554712892
26,Erie County (Northwest) PUMA,94.16025350837482,100.0,86.90355329949239,5.83974649162517,0.0,13.096446700507613
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,67.2294070574873,70.31666488964709,64.33111455883089,32.770592942512714,29.683335110352914,35.66888544116911
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",59.32915220069437,53.6410989684404,66.23280029750836,40.67084779930563,46.3589010315596,33.76719970249164
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",90.15478674365568,93.90451406265639,86.62648333019402,9.845213256344316,6.09548593734361,13.37351666980599
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",53.02194889195208,53.709949409780776,52.40794622253436,46.97805110804792,46.290050590219224,47.59205377746564
