,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,61.054853918349,63.3334983364526,58.90175659631722,38.94514608165099,36.66650166354741,41.09824340368277
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",93.77083093897252,89.87959648551904,95.8955223880597,6.229169061027468,10.120403514480964,4.104477611940299
2,Tompkins County PUMA,96.08064820048992,90.39260969976905,100.0,3.919351799510081,9.607390300230948,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,67.48225718397936,61.55535589497853,73.34188709040663,32.51774281602064,38.44464410502147,26.658112909593367
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",46.52412316993789,47.00838549663399,46.0997018880424,53.47587683006212,52.991614503366016,53.9002981119576
5,Madison & Cortland Counties PUMA,18.83495145631068,9.535452322738386,54.71698113207547,81.16504854368932,90.4645476772616,45.28301886792453
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,72.7426002248033,77.16165413533834,69.1491168478261,27.257399775196706,22.838345864661655,30.850883152173914
7,Dutchess County (Southwest) PUMA,87.08715107607074,93.00610912155045,81.0303944815693,12.912848923929257,6.993890878449547,18.969605518430697
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",53.096621867054125,53.86736522818144,52.493254182406915,46.903378132945875,46.13263477181856,47.50674581759309
9,Dutchess County (North & East) PUMA,79.16754256884592,73.18690426854538,85.32423208191126,20.83245743115409,26.813095731454624,14.675767918088736
10,Erie County (Central) PUMA,69.20398009950249,82.68109908409659,49.196538936959215,30.796019900497512,17.318900915903416,50.803461063040785
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,57.7408826450972,60.78742428612634,54.79050279329609,42.2591173549028,39.21257571387366,45.20949720670391
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",72.5,50.898203592814376,85.71428571428571,27.500000000000004,49.101796407185624,14.285714285714285
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,38.21652298568427,42.01609487505294,34.261782622635465,61.783477014315736,57.98390512494706,65.73821737736453
14,Westchester County (Northeast) PUMA,73.33804095631999,66.57527987205849,78.6849710982659,26.661959043680017,33.42472012794151,21.315028901734102
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,83.03183162289093,91.86065985597052,73.49375791568663,16.968168377109063,8.139340144029477,26.50624208431337
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,83.09549945115258,100.0,69.13827655310621,16.90450054884742,0.0,30.861723446893784
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,94.42231075697211,86.20689655172413,100.0,5.577689243027888,13.793103448275861,0.0
18,Niagara County (North & East) PUMA,90.02320185614849,100.0,85.94771241830065,9.976798143851507,0.0,14.052287581699346
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",88.03272515660836,92.68209434091065,83.35622081845648,11.96727484339164,7.317905659089358,16.643779181543533
20,"Chenango, Delaware & Broome (East) Counties PUMA",69.85230234578627,81.97674418604652,60.0,30.14769765421373,18.023255813953487,40.0
21,Oswego County PUMA,99.52941176470588,100.0,0.0,0.4705882352941176,0.0,100.0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",91.23349589627692,95.06172839506173,88.30323393532129,8.766504103723088,4.938271604938271,11.696766064678707
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,69.66054231268356,74.57049763033176,65.45823298263404,30.33945768731644,25.429502369668246,34.541767017365956
24,Ontario & Yates Counties PUMA,84.08239700374533,65.61679790026247,94.32314410480349,15.917602996254681,34.38320209973753,5.676855895196507
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",65.73024294889696,72.13959652481225,61.81392837862156,34.26975705110304,27.860403475187752,38.186071621378446
26,Erie County (Northwest) PUMA,100.0,100.0,100.0,0.0,0.0,0.0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,62.62376237623762,68.4047690914579,56.54554109806411,37.37623762376238,31.595230908542106,43.454458901935894
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",57.7012755451927,50.80200179648402,65.6208572691118,42.2987244548073,49.19799820351597,34.379142730888205
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",85.83627105366236,89.304531085353,83.0434167727337,14.163728946337642,10.695468914646996,16.9565832272663
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",52.861744966442956,53.19959081609456,52.55927546555409,47.138255033557044,46.80040918390544,47.44072453444591
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,65.95009495674194,71.20890499611701,60.488250793138675,34.04990504325807,28.791095003882994,39.511749206861325
32,Erie County (West Central)--Buffalo City (West) PUMA,58.22027716994894,58.905704307334105,57.531441942088335,41.77972283005106,41.09429569266589,42.46855805791167
33,Schenectady County--Schenectady City PUMA,77.71147771147771,91.23028391167193,60.75949367088608,22.288522288522287,8.769716088328074,39.24050632911392
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,54.71092077087795,47.54823862630554,60.94255351917449,45.28907922912205,52.45176137369446,39.057446480825504
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",94.81132075471697,100.0,0.0,5.188679245283019,0.0,100.0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,56.47916013788781,51.73617169778398,60.3440921370681,43.52083986211219,48.26382830221602,39.6559078629319
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,47.41468459152017,54.254463567637124,39.5210692407648,52.585315408479836,45.745536432362876,60.4789307592352
38,Erie County (Northeast) PUMA,100.0,100.0,100.0,0.0,0.0,0.0
39,Monroe County (North & West) PUMA,86.28472222222221,100.0,80.87167070217917,13.715277777777779,0.0,19.128329297820823
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,71.93380185898889,74.4819179195449,68.71794871794872,28.066198141011107,25.518082080455102,31.28205128205128
