,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,3619934,2035692,1584242,79195.94735069755,90152.31857520685,65117.41815454962,1785840,932545,853295,106051.21477343995,127289.49047391815,82840.42857042406,1736927,1028567,708360,53719.24714740458,59993.02066564453,44609.47752978712,97167,74580,22587,41034.40773101979,41731.48999731831,38732.71226811883
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",45751,23176,22575,155346.49834976284,176347.4562478426,133786.44518272424,41015,20744,20271,161160.01331220285,186530.39654839953,135197.6419515564,4736,2432,2304,104999.9366554054,89490.99506578948,121370.48611111111,0,0,0,#DIV/0!,0.0,0.0
2,Tompkins County PUMA,23516,11948,11568,62869.70500935533,72323.90190826917,53104.94493430152,13143,6481,6662,79839.82903446701,95628.70853263386,64479.91789252477,9628,5031,4597,42547.975695887,45410.717551182664,39414.964107026324,745,436,309,26117.046979865772,36456.422018348625,11528.155339805826
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,26872,15513,11359,132137.53401309912,154408.2363179269,101722.40901487807,17557,10183,7374,171036.77245543088,201734.23058037905,128645.63927312178,8963,4978,3985,59925.60526609394,66348.192044998,51902.60978670012,352,352,0,30664.772727272728,30664.772727272728,0.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",17608,11322,6286,75311.45899591094,74011.06429959371,77653.65892459433,8467,4764,3703,79930.57399314988,70879.59068010075,91574.88522819335,8995,6412,2583,71573.9244024458,77164.43387398627,57696.1285327139,146,146,0,37702.397260273974,37702.397260273974,0.0
5,Madison & Cortland Counties PUMA,37867,21181,16686,50397.73911321203,55697.42368160144,43670.385712573414,12508,6119,6389,70922.51519027822,81053.0838372283,61220.06573798716,23945,13928,10017,40944.09968678221,46595.20469557725,33086.598382749326,1414,1134,280,28929.20792079208,30674.867724867723,21859.285714285714
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,686,155,531,58214.28571428572,132000.0,36676.08286252354,261,0,261,32869.73180076628,0.0,32869.73180076628,425,155,270,73778.82352941176,132000.0,40355.555555555555,0,0,0,#DIV/0!,0.0,0.0
7,Dutchess County (Southwest) PUMA,38147,20978,17169,68406.1756363541,77715.36643149967,57031.70976760441,17321,8849,8472,88374.2962877432,104417.35190416996,71617.33227101038,20019,11841,8178,51709.885408861584,58179.39447681783,42342.624847150895,807,288,519,54001.239157372984,60491.666666666664,50399.61464354528
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",434,127,307,60216.22119815668,93800.0,46323.25732899023,234,62,172,70005.29914529914,125000.0,50181.62790697674,200,65,135,48763.0,64040.0,41407.40740740741,0,0,0,#DIV/0!,0.0,0.0
9,Dutchess County (North & East) PUMA,35949,19731,16218,68793.25906144816,72950.733414424,63735.22931310889,15342,7379,7963,90693.08421327076,99670.32877083616,82374.22353384402,19459,11505,7954,53471.704712472376,58640.04302477184,45996.00289162686,1148,847,301,35827.238675958186,34557.10743801653,39401.32890365449
