,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,1118392,665774,452618,65408.70995768925,69964.37702884161,58707.59624009651,503269,261065,242204,93854.82425899469,108938.20569206902,77596.86413519182,492133,313266,178867,43617.3041596479,46847.05689094891,37960.74526883103,122990,91443,31547,36204.89185299618,37891.586660542634,31315.79199289948
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,6099,3714,2385,76597.27824233481,89328.43295638126,56771.907756813416,2508,1279,1229,96537.40031897927,124615.16810007818,67317.3311635476,3325,2169,1156,62913.38345864662,72161.82572614108,45560.55363321799,266,266,0,59639.0977443609,59639.0977443609,0.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",1139,736,403,44026.083406496924,45490.09375,41352.357320099254,329,248,81,51047.74772036474,58950.43951612903,26851.85185185185,810,488,322,41174.07407407407,38649.59016393442,45000.0,0,0,0,#DIV/0!,0.0,0.0
3,Cayuga & Onondaga (South) Counties PUMA,196,0,196,85765.30612244898,0.0,85765.30612244898,166,0,166,85000.0,0.0,85000.0,0,0,0,#DIV/0!,0.0,0.0,30,0,30,90000.0,0.0,90000.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10443,5776,4667,40468.57224935363,41386.32271468144,39332.74051853439,1903,650,1253,61678.56016815554,63381.53846153846,60795.1316839585,6172,3418,2754,38750.298120544394,41831.27559976595,34926.48511256355,2368,1708,660,27902.094594594593,32125.351288056205,16972.81818181818
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",12873,7637,5236,48917.55224112484,50210.92182794291,47031.10007639419,3947,1930,2017,66194.22346085634,60793.57512953368,71361.92364898363,6996,4367,2629,43632.59576901086,49382.73414243187,34081.110688474706,1930,1340,590,32742.699481865286,37667.76865671642,21556.949152542373
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",24835,12898,11937,49958.67875981478,55573.277252287175,43892.071458490405,8283,3066,5217,58360.80043462513,67996.38290932811,52698.02568525973,13899,8074,5825,47119.44578746673,53024.30270002477,38934.7565665236,2653,1758,895,38600.8669430833,45613.765642775885,24825.81005586592
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",342,128,214,91596.49122807017,118656.25,75411.21495327103,280,98,182,102492.85714285714,136000.0,84450.54945054946,62,30,32,42387.096774193546,62000.0,24000.0,0,0,0,#DIV/0!,0.0,0.0
8,Erie County (Northwest) PUMA,1109,1028,81,54340.847610459874,55707.198443579764,37000.0,959,878,81,54863.39937434828,56511.38952164009,37000.0,150,150,0,51000.0,51000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,13987,8179,5808,214706.01458497177,263753.7016750214,145635.5888429752,12143,6335,5808,237100.14213950423,320955.88413575373,145635.5888429752,1656,1656,0,66356.28019323671,66356.28019323671,0.0,188,188,0,75000.0,75000.0,0.0
