,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,5.294063947011179,5.144095919544274,5.42307398989085,15.733827861303643,13.658722570492538,17.959136958675206,43.28225564275917,39.39362496887192,48.80127235955939
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,2.3611026592831497,4.616923956546598,0.6887782134152803,4.217770771655966,4.459086730003064,3.974685498186309,13.386727688787186,2.433628318584071,25.118483412322274
2,"Chenango, Delaware & Broome (East) Counties PUMA",10.964666292765003,15.978980147917476,6.330935251798561,23.290761214893887,20.37672341251861,26.099706744868033,37.344398340248965,35.056179775280896,40.649087221095336
3,Cayuga & Onondaga (South) Counties PUMA,5.67483691177402,8.94559730790802,2.98024719879866,18.49667947228923,12.959129354705151,24.11228406909789,22.094691535150645,18.796680497925312,29.48837209302326
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,31.529411764705884,35.69711538461539,27.534562211981566,100.0,#DIV/0!,100.0
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",8.081524147097918,13.615583383025243,3.6296770067157023,11.452824937378235,7.738742001690209,16.505173263261618,6.517690875232775,6.372549019607843,6.768189509306261
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",5.475946775844422,2.9483364890451718,8.450031826861872,11.628170289855072,9.967992684042066,13.25706594885599,31.17505995203837,37.3134328358209,26.31578947368421
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",7.2249727280355796,9.83476010352379,5.323469683782999,20.310162713313183,16.5140307620054,24.422820072505246,52.12059274399591,48.658008658008654,57.107231920199496
8,Erie County (Northwest) PUMA,2.994157740993184,4.037548066048405,2.2055052145665925,14.212964484016164,13.424693986162852,14.982148653034729,28.737690241718887,29.859154929577464,28.21522309711286
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,4.973982246709519,2.6711378353376505,6.792039437648348,3.1765805045157274,0.0,6.170598911070781,14.728682170542637,12.698412698412698,100.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3.736153291529201,2.2147835656639763,5.120821334668837,7.469727944645385,7.495281747101645,7.433962264150944,100.0,#DIV/0!,100.0
11,Saratoga County (South & Central) PUMA,3.1865294956267096,2.460471801809419,3.7944216338666292,13.834137376521937,14.322335235260066,13.223738626964435,6.274131274131274,8.891928864569083,0.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,4.683195592286501,3.788556101922217,5.520125457396759,2.9369355695530093,3.632253202712886,2.2317334148578416,3.565640194489465,2.25140712945591,11.904761904761903
13,Columbia & Greene Counties PUMA,6.443364868320122,6.095585257189145,6.696100073583517,17.258365890946152,17.45577869397526,17.052163645203862,70.8303886925795,58.29701642641636,84.79641389615242
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,4.144535049001272,2.022514787254341,5.51316761014029,4.76722911160805,4.942965779467681,4.5952740070387135,24.54954954954955,20.143027413587607,100.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2.7340041769508256,1.215291750503018,4.09058231488138,9.952694555236064,10.806304940891179,8.606263447286636,18.345323741007196,38.34196891191709,7.7134986225895315
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,15.234967155128853,20.093050305321313,11.503238775966048,19.729069056834387,18.507410021171488,21.397590361445783,57.099236641221374,34.651162790697676,100.0
17,Putnam County PUMA,1.6845404240732578,1.8469093626561333,1.5469513298353537,6.00499116148487,9.180391774680832,2.3737880307589436,50.0,31.272727272727273,100.0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3.5445450214387804,3.845367150746574,3.28219764537995,3.572519083969466,5.549626467449306,0.9279086366880799,6.986444212721585,15.274463007159905,0.5555555555555556
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,3.074643452491202,0.0,7.464028776978417,13.555992141453832,1.7761989342806392,20.435684647302903,100.0,100.0,100.0
20,Rockland County (North)--New City & Congers PUMA,4.456114028507127,3.0240193537238635,5.554819037518229,4.621491352424156,4.201983769161407,5.083399523431295,24.574669187145556,32.663316582914575,0.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,0.0,85.7805255023184,85.7805255023184,#DIV/0!,100.0,100.0,100.0
22,Orange County (Northwest) PUMA,0.8952942460967355,2.155625657202944,0.0,17.222333400040025,15.03239104829211,19.831593719849135,50.08936550491511,43.12138728323699,54.47924253459577
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3.942025867864153,3.426926627925922,4.447166595654027,33.46952116358882,29.13054898870502,40.61418685121107,34.63687150837989,100.0,15.370705244122965
24,Dutchess County (Southwest) PUMA,5.293241750324222,6.275665999789407,4.469175057410352,14.356373259403945,12.179598449343285,16.958295871083752,9.663865546218489,18.860510805500983,2.7900146842878124
25,Westchester County (Northwest) PUMA,3.5576886451072256,0.7094566396794925,5.948710762331839,8.506238367684565,8.204269568857264,8.80108991825613,5.660377358490567,7.643312101910828,0.0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,4.351583769067888,7.261239813203919,1.751227495908347,5.557106953364982,2.951742887658996,7.95566282291946,2.7624309392265194,4.761904761904762,0.0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1.0187409899086979,0.7275666936135812,1.2827560930914421,10.734135213604313,18.596881959910913,4.379781010949452,71.78683385579937,74.14248021108179,62.8140703517588
