,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,2.7528621977738883,2.7351646661873783,2.768592468770148,6.0919660974993315,6.586492164930403,5.514700633649945,13.924424583512518,12.737684240446736,15.958029752602846
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,2.2555918572505655,2.5682837342030167,1.986677573916092,2.234334879949547,0.6304728546409807,3.933574543093051,0.0,0.0,0.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",3.4275127373784158,5.6998556998557,1.3175524787851718,4.1967420029187865,4.5768699124558445,3.795312626713162,5.522804840210983,2.658855340243353,11.852589641434264
3,Cayuga & Onondaga (South) Counties PUMA,2.4050632911392404,3.8073739653875096,1.174917491749175,6.291646208879849,4.887293038100938,7.85899814471243,2.101769911504425,0.9000900090009001,7.551020408163265
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,4.705282826567013,0.0,6.520715630885123,3.8825363825363826,2.1362931137367225,5.229721020163889,2.1154693697664166,0.0,3.4212401995723454
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",2.2585489833641406,3.792030810250333,1.2782880409052173,4.055310718473295,4.084956232611794,4.011604641856743,5.303760848601736,7.18954248366013,0.0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",1.2014937489852249,1.2792103142626914,1.111241080828167,2.7616787895289585,1.005061460592914,4.806801919353481,13.691796008869181,16.572352465642684,7.4074074074074066
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1.4962816951886033,0.4890495428449926,2.2297925054196344,5.560330331452487,4.702019143436037,6.547236503856041,24.910714285714285,27.10997442455243,19.82248520710059
8,Erie County (Northwest) PUMA,1.579737918889522,2.2562543839139586,1.04156979447596,2.6413420437132027,3.1667366652666944,2.1562087954704103,23.432835820895523,48.01223241590214,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2.196049148055122,2.1733889022836084,2.2180589475092836,21.959880986658987,23.75886524822695,20.055325034578146,26.111111111111114,31.713900134952766,0.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3.3187238033263795,3.639536863613145,3.0566470772333694,2.399232245681382,3.2327586206896552,0.0,48.1203007518797,100.0,0.0
11,Saratoga County (South & Central) PUMA,1.714648602878916,0.329689397883047,3.0345625930213327,2.633311389071758,2.5567440647012782,2.740058195926285,9.0990990990991,11.649365628604382,0.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1.3390439619947816,1.1639884631231974,1.4992927864214993,3.4704852426213106,3.2656209822576496,3.6644752860969074,22.48201438848921,32.808398950131235,0.0
13,Columbia & Greene Counties PUMA,1.33410116133986,3.0067056024226693,0.0,5.842573924731183,7.422123331214241,4.071632216678546,24.57593688362919,6.802189210320562,42.675159235668794
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,3.439417725132011,3.779151447035684,3.0887470997679816,6.591694659461565,6.860953773067788,6.284523189161022,11.813186813186812,15.867158671586715,0.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,2.915129151291513,3.8782861960603974,1.8072820241558671,5.47616564097215,6.904724285037131,2.701043585021486,0.0,0.0,0.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2.828598940779971,3.563699321887174,2.3025296850800205,7.271547636871787,10.069699192956714,3.93080039417497,20.88607594936709,29.66002344665885,10.591471801925723
17,Putnam County PUMA,2.2107552992361006,1.1318166228421174,3.0671506352087112,6.8320455469703125,7.018097643097643,6.602672201323129,5.86145648312611,6.8181818181818175,0.0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3.7715249863530342,4.262080568277409,3.2162505289885743,1.8409905506679698,1.5654205607476637,2.4757804090419806,9.033613445378151,13.479623824451412,0.0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,1.9927052753313763,2.8194361127774443,0.7872293898972229,1.7567567567567568,3.7259959873889366,0.0,10.760869565217392,14.89841986455982,0.0
20,Rockland County (North)--New City & Congers PUMA,4.8561593312023605,7.3147123893805315,2.888446215139442,5.003357958361317,4.0237467018469655,6.717451523545706,4.446546830652791,6.241699867197875,0.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,0.0,16.651549911967134,18.739617940199334,14.444078586324224,51.91754554170661,31.89154293092318,63.743804803659934
22,Orange County (Northwest) PUMA,4.4089895350832045,7.354508633553614,2.4257212573561073,2.602946099765651,4.056582591123419,0.7593735168485999,0.0,0.0,0.0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1.052905802922085,1.3624220837043632,0.7583781722662373,6.048423121593853,5.16698172652804,7.20330237358101,16.767788196359625,0.0,25.270157938487113
24,Dutchess County (Southwest) PUMA,4.6001382807098405,2.5443189124644072,6.670984455958549,3.024075161479742,4.396648044692737,1.5037128712871286,2.7548209366391188,5.540166204986149,0.0
25,Westchester County (Northwest) PUMA,3.6485708804910804,4.549356223175965,2.7773584905660376,9.124448250872916,12.991239048811012,4.826818750869384,25.603357817418676,26.284875183553595,23.897058823529413
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3.6028119507908607,3.633217993079585,3.571428571428571,4.830892424402065,4.75212672337929,4.922901199314678,0.0,0.0,#DIV/0!
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4.746663034595478,4.2063492063492065,5.152671755725191,4.221862193843514,5.007432181345225,3.3946390138916067,2.1436227224008575,0.0,5.547850208044383
28,Saratoga County (Outer) PUMA,0.0,0.0,0.0,3.12425144577901,3.73677450920433,2.346177750155376,1.5537332757876565,1.934443847393874,0.0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3.215651000674612,3.0271934325295025,3.362690152121697,5.880290947331522,5.782608695652174,6.029705165151851,15.435897435897436,27.586206896551722,0.5701254275940707
30,Erie County (South) PUMA,1.1691568648228603,2.0445216293021784,0.46026976922585183,2.6082917766696,1.6060977269633865,3.7790851751735834,9.250398724082935,10.229276895943562,0.0
