,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,4949640,2672664,2276976,77963.27038128025,87904.81821134269,66294.10171648713,2397301,1166921,1230380,105424.79627964948,126530.63746903175,85407.52575627042,2356836,1375207,981629,53053.77338771132,59198.167414796466,44445.82305534983,195503,130536,64967,41513.98703856207,45037.773778880925,34433.761294195516
1,Monroe County (Central)--Rochester City (East) PUMA,34298,18398,15900,50980.34929150388,54848.2454614632,46504.77987421383,16054,8295,7759,61595.35318300735,69389.57926461723,53262.69364608841,16412,9112,7300,43170.72934438216,44078.75987708516,42037.308219178085,1832,991,841,27922.603711790394,32155.196770938444,22935.08917954816
2,NYC-Brooklyn Community District 4--Bushwick PUMA,34010,17868,16142,56252.47427227286,55269.57801656593,57340.46772394994,18478,9212,9266,64174.62604177941,62727.18627876683,65613.63047701273,14245,7880,6365,45458.82134082134,49633.1192893401,40290.9552238806,1287,776,511,61979.02097902098,23975.515463917527,119690.8023483366
3,NYC-Manhattan Community District 10--Central Harlem PUMA,39461,20013,19448,89054.49709840096,112751.0568130715,64669.50894693542,24145,12574,11571,106793.96935183268,127488.4285032607,84305.6684815487,13304,6443,6861,64719.47684906795,96474.93403693932,34898.69115289317,2012,996,1016,37083.101391650096,31987.349397590362,42078.54330708661
4,Ontario & Yates Counties PUMA,44965,24830,20135,68599.71199822084,74255.26540475231,61625.41892227464,19406,9830,9576,90285.91569617644,92994.24516785351,87505.74874686716,23154,12875,10279,50550.067806858424,60346.02796116505,38280.10117715731,2405,2125,280,67385.15592515592,71844.56470588235,33541.42857142857
5,Albany County (Outside Albany City) PUMA,65655,34969,30686,72477.92338740385,83556.94672424147,59852.54480870756,30209,15187,15022,90755.25373233142,108258.64291828538,73059.60923978165,32522,17818,14704,58724.675604206386,67225.3036255472,48423.79216539717,2924,1964,960,36617.2024623803,40712.01629327902,28239.895833333332
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",35362,19483,15879,54181.21938804366,60081.05065954935,46942.324453680965,11812,5599,6213,71762.06061632239,90198.19967851402,55147.8738129728,21355,12282,9073,45497.39077499415,47512.005373717635,42770.23366031081,2195,1602,593,44057.42141230068,51184.107365792755,24804.553119730186
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,21171,11545,9626,63143.368286807425,65971.78432221741,59751.090795761476,10178,5035,5143,78640.20436235017,85194.89572989076,72223.15769006417,10197,6015,4182,49754.579778366184,51869.61762261014,46712.505978000954,796,495,301,36508.54271356784,41802.42424242424,27802.65780730897
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",26272,15353,10919,105651.7962088916,122052.3050869537,82591.34994047074,17287,9279,8008,122863.04911204951,150866.2765384201,90415.2534965035,8618,5761,2857,74533.84311905314,81154.84464502691,61182.9191459573,367,313,54,25661.58038147139,20600.0,55000.0
9,Warren & Washington Counties PUMA,42393,23336,19057,52041.50708843441,53656.584676037026,50063.784960906756,12229,4673,7556,73477.51083490065,87439.18681789,64842.92747485442,27991,16933,11058,43938.4787967561,45819.87657237347,41057.51401700127,2173,1730,443,35783.32719742292,39109.115606936415,22795.48532731377
