,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,11.230216327623681,10.91887280618456,11.512154412635402,22.916507711591912,19.882448372413904,26.01897549939513,37.17369090048102,33.45669298147011,42.23318111200038
1,Monroe County (Central)--Rochester City (East) PUMA,32.016632016632016,7.650273224043716,64.40677966101694,27.05530642750374,11.771428571428572,55.93952483801296,0.0,0.0,0.0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,10.411556282365767,0.0,18.66145578895945,21.49532710280374,10.258989187830023,37.06025774991292,34.314320388349515,26.595744680851062,44.56214689265537
3,NYC-Manhattan Community District 10--Central Harlem PUMA,25.555409491258054,22.041964092580578,30.998659517426276,53.07337220602527,39.57317073170732,62.01534733441034,26.606538895152198,10.65203357004519,48.830935251798564
4,Ontario & Yates Counties PUMA,0.0,0.0,0.0,8.333333333333332,0.0,12.54237288135593,60.49382716049383,#DIV/0!,60.49382716049383
5,Albany County (Outside Albany City) PUMA,8.876139048261896,15.154134255257851,0.0,12.696747114375656,0.0,20.97053726169844,44.87804878048781,30.67484662576687,100.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,30.983847283406757,24.519230769230766,41.132075471698116,36.434108527131784,51.94805194805194,29.83425414364641
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,11.351046368485843,13.614387932701606,8.793969849246231,16.976807639836288,15.49438315959923,18.71151113216485,47.3464952001449,37.87096774193549,59.479553903345725
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",18.557772236076474,11.425630468347915,23.38794004879749,41.41183195198629,39.22311700615822,44.74063400576369,32.646536412078156,35.60523446019629,27.115188583078492
9,Warren & Washington Counties PUMA,4.411764705882353,6.8181818181818175,0.0,9.375,0.0,15.328467153284672,#DIV/0!,#DIV/0!,#DIV/0!
10,Erie County (North Central) PUMA,22.62715892885438,31.0589519650655,10.95579901775595,4.706734250543085,10.317460317460316,0.0,19.801980198019802,24.93765586034913,0.0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",7.36657341890187,3.6619718309859155,10.880718255664815,29.63657678780774,32.9492257832193,23.45430107526882,70.24221453287197,#DIV/0!,70.24221453287197
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,27.281460134486068,0.0,41.70337738619677,0.0,0.0,0.0,40.298507462686565,100.0,0.0
