,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,5.807345324393729,5.674739218405271,5.9155023727542995,20.567295674240288,16.90511590239226,24.41721630990437,49.62021794574542,44.01607535999299,56.47405183859608
1,Monroe County (Central)--Rochester City (East) PUMA,6.9860880920094415,6.075411577270313,7.80297256097561,34.42240373395566,29.860720315137872,39.33222289521502,58.458304134548,43.881265751890226,73.06397306397307
2,NYC-Brooklyn Community District 4--Bushwick PUMA,7.664167645199169,8.227124901116287,7.069205759405481,29.940876472446632,22.303338528422607,39.2835641180012,63.65510133974579,30.072666294019008,78.55194644185471
3,NYC-Manhattan Community District 10--Central Harlem PUMA,7.385677308024159,9.481800500138927,5.315865285684889,32.826394082938585,21.98459447213412,42.00752052797176,68.07059767348575,60.633626097867,73.59589839198321
4,Ontario & Yates Counties PUMA,3.3644085353221462,3.0559955278114224,3.611401283390539,20.08664937358574,16.11476587981646,24.045401950520688,29.06869525126787,28.267915016204537,30.493273542600896
5,Albany County (Outside Albany City) PUMA,7.257680250783699,8.695889811980761,6.038277955419621,12.653390514203219,11.039511616075972,14.272348388194267,17.181372549019606,13.008778930566638,23.824650571791615
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",4.620954003407155,3.458815958815959,5.538617886178862,16.8734566960339,13.363802559414992,20.386750442261942,51.77829099307159,49.7153024911032,55.5921052631579
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,4.7736422643989815,8.523206751054852,1.2167787383925712,17.014382354613154,19.654623949102476,14.37023552167482,35.77981651376147,26.26797880393641,52.53333333333333
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",3.358141223452532,3.352822949022474,3.363390441839495,8.252052487544734,8.180193976518632,8.339828526890102,58.156028368794324,63.477246207701285,47.0873786407767
9,Warren & Washington Counties PUMA,7.967233009708738,9.816694440236327,6.7314505516752705,21.22237042682927,15.20595173289784,27.87362086258776,37.52181500872601,27.496798975672217,52.926709296606
10,Erie County (North Central) PUMA,8.32874226269566,5.719373219373219,10.507224832015224,8.139937651541393,8.463498393707766,7.787823990355635,10.873983739837398,0.8746355685131195,16.22464898595944
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",6.299926035502959,6.525358606557377,5.991771708683474,30.982580754270252,20.78177727784027,46.37250742469241,71.74528301886792,69.70954356846472,79.67667436489607
