,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,39.656448962006735,36.86053241202064,42.457107539778235,45.83550080582106,47.01867443851529,44.650320445765374,14.508050232172206,16.120793149464063,12.892572014456391
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",44.13542926239419,37.35852676002302,52.35602094240838,49.2403133378897,54.46959524266257,42.897033158813265,6.624257399716103,8.171877997314406,4.7469458987783595
2,Ulster County (East) PUMA,42.739921512665,37.19745222929936,44.89593657086224,43.23938637174456,52.22929936305732,39.742319127849356,14.020692115590439,10.573248407643312,15.361744301288404
3,Albany County (East Central)--Albany City PUMA,38.12396006655574,29.20729122509538,46.71294405879951,53.681364392678866,56.634167019923694,50.83707635769702,8.19467554076539,14.158541754980924,2.449979583503471
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,54.412955465587046,56.14973262032086,53.65853658536586,13.279352226720647,43.85026737967914,0.0,32.30769230769231,0.0,46.34146341463415
5,Ontario & Yates Counties PUMA,60.84788029925187,100.0,48.270181219110384,39.15211970074813,0.0,51.72981878088962,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,55.03943908851884,95.3125,25.79425113464448,37.99298860648554,4.6875,62.178517397882,6.967572304995617,0.0,12.027231467473525
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,37.8167641325536,39.44099378881988,36.3977877491391,50.342522974101925,44.135212613473485,55.76541792758009,11.840712893344472,16.42379359770664,7.83679432328081
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",19.666666666666664,18.900343642611684,21.069182389937108,33.666666666666664,34.87972508591065,31.446540880503143,46.666666666666664,46.21993127147766,47.48427672955975
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,29.732142857142858,26.958831341301458,31.984897518878103,41.07142857142857,43.02788844621514,39.482200647249186,29.196428571428573,30.0132802124834,28.53290183387271
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",21.528628495339547,22.19364132112357,20.814929328621908,54.822902796271634,55.84936721884968,53.72128975265018,23.648468708388815,21.95699146002675,25.463780918727913
11,Livingston & Wyoming Counties PUMA,70.43222003929273,93.42723004694837,31.6622691292876,9.921414538310412,3.286384976525822,21.108179419525065,19.646365422396855,3.286384976525822,47.229551451187334
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,50.63755180108384,55.04702194357367,46.07652399481193,43.52884921899904,38.99686520376176,48.21660181582361,5.833598979917118,5.956112852664576,5.706874189364462
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,22.388559937437158,14.939382088384825,32.31691425592911,52.8209138643727,68.1462651544779,32.39510033880636,24.790526198190147,16.914352757137273,35.28798540526453
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,58.68917576961271,74.89583333333333,43.92789373814042,24.42899702085402,9.0625,38.425047438330175,16.881827209533267,16.041666666666668,17.647058823529413
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,66.24467846739861,74.72203312911277,57.977428634653684,22.65292404212413,17.04107102337191,28.125691524673602,11.102397490477257,8.236895847515315,13.896879840672716
16,Monroe County (Central)--Rochester City (East) PUMA,41.42857142857143,79.31654676258992,18.38074398249453,31.15646258503401,20.68345323741007,37.527352297593,27.414965986394556,0.0,44.09190371991247
17,Westchester County (Northwest) PUMA,34.646214745175655,39.81422841460841,30.08569299552906,53.122216724393866,47.055098163394554,58.47615499254844,12.23156853043048,13.130673421997043,11.438152011922503
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,27.692307692307693,25.066904549509367,30.906443392792138,59.42716857610475,62.97948260481713,55.07826720058245,12.880523731587562,11.953612845673506,14.015289406625408
19,Onondaga County (Central)--Syracuse City PUMA,57.74450163781002,57.26195699868364,58.29573934837092,31.75011698642957,34.927599824484425,28.1203007518797,10.505381375760411,7.810443176831944,13.583959899749374
20,Westchester County (Northeast) PUMA,33.189448441247,31.162931556632344,35.455469014561466,35.81135091926459,39.58207147183525,31.594988147646465,30.99920063948841,29.254996971532403,32.94954283779208
21,Madison & Cortland Counties PUMA,59.479553903345725,100.0,51.98237885462555,0.0,0.0,0.0,40.520446096654275,0.0,48.01762114537445
22,Erie County (West Central)--Buffalo City (West) PUMA,33.491551167647614,33.0716723549488,34.017971758664956,33.396620467059044,41.911262798634816,22.721437740693197,33.111828365293334,25.017064846416382,43.26059050064185
23,Monroe County (Central)--Rochester City (West) PUMA,29.234407330771507,26.492537313432834,33.97901533494754,56.31096659769435,50.69962686567165,66.02098466505247,14.454626071534141,22.807835820895523,0.0
24,Suffolk County (Central)--Islip Town (East) PUMA,65.98425196850394,56.64739884393064,72.43675099866844,27.125984251968504,42.00385356454721,16.844207723035954,6.889763779527559,1.348747591522158,10.719041278295606
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,56.757782839787396,70.79207920792079,40.49180327868853,39.93925588458618,23.055162659123056,59.50819672131148,3.3029612756264237,6.152758132956153,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",19.876149822641736,21.06789079487799,18.69539198084979,48.69837070883184,48.53829427397922,48.856971873129865,31.425479468526422,30.39381493114279,32.44763614602035
27,St. Lawrence County PUMA,40.25069637883008,44.050632911392405,35.60371517027864,59.749303621169915,55.949367088607595,64.39628482972137,0.0,0.0,0.0
28,Columbia & Greene Counties PUMA,27.496757457846954,32.39795918367347,22.427440633245382,45.13618677042802,40.816326530612244,49.6042216358839,27.367055771725035,26.785714285714285,27.96833773087071
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,80.13001083423619,79.48964853153588,80.65405831363279,12.589382448537378,9.725565719788156,14.933018124507486,7.280606717226436,10.784785748675976,4.412923561859732
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",48.35473365028263,44.72054324304157,52.01322115384615,43.926178265264106,50.346989030669356,37.46243990384615,7.719088084453263,4.932467726289083,10.524338942307693
31,Monroe County (North & West) PUMA,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
32,Schenectady County--Schenectady City PUMA,47.438072616219884,46.64005322687957,48.26869806094183,49.06684764166949,49.56753160345975,48.54570637119113,3.495079742110621,3.792415169660679,3.1855955678670362
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",28.089754244331,38.257372654155496,20.008523332623053,43.83236376587914,33.78016085790885,51.821862348178136,28.07788198978986,27.962466487935657,28.169614319198804
