,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,41.71421572365851,37.7504585018079,45.59475886997819,51.04679974557125,54.07905851730656,48.07819941615163,7.238984530770232,8.170482980885545,6.327041713870178
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",54.31895188615316,51.33399209486166,56.833125260091556,38.36683984639711,38.41897233201581,38.322929671244275,7.3142082674497395,10.24703557312253,4.84394506866417
2,Ulster County (East) PUMA,30.10261774184429,23.71367708105746,36.95652173913043,62.76078475716628,66.90244701769718,58.31770772295792,7.136597500989428,9.383875901245357,4.725770537911638
3,Albany County (East Central)--Albany City PUMA,42.56979815129221,43.226751281425436,41.95593668749715,50.841822297679684,49.607029533805225,51.995621037266794,6.588379551028107,7.166219184769343,6.048442275236054
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,27.182054797242255,27.043297982617016,27.319893857182464,65.6891379070553,61.601945618371744,69.74929700186145,7.128807295702449,11.354756399011242,2.9308091409560775
5,Ontario & Yates Counties PUMA,37.17918859751269,30.84669781538073,43.30756774922856,56.64446411104384,61.35560045460286,52.085179187925824,6.176347291443476,7.797701730016417,4.60725306284562
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,43.649989395046305,36.376140479574524,51.343225681311225,53.09075483703721,58.94273531704186,46.90136747163224,3.25925576791648,4.681124203383614,1.7554068470565416
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,49.0,44.47727735887508,53.07734705125849,45.33011272141707,49.57883295971741,41.49978565741932,5.669887278582931,5.943889681407513,5.422867291322188
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",24.757846672016456,17.807035589384903,33.232999724082575,67.86509488341603,73.65768360419666,60.80216720595981,7.377058444567515,8.535280806418433,5.964833069957609
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,29.06628505672514,25.977709083690197,32.41498062849763,62.570260979891714,61.90692266243158,63.289465592521985,8.363453963383149,12.115368253878223,4.295553778980383
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15.174069627851141,11.682014106583072,17.585577053172777,59.137655062024805,63.112264890282134,56.39291029630632,25.688275310124048,25.205721003134794,26.021512650520904
11,Livingston & Wyoming Counties PUMA,20.434973554066183,16.938306522891992,24.54122726895292,71.06413854996086,74.40339402510165,67.14273852030225,8.500887895972962,8.658299452006364,8.316034210744832
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,63.47026307232554,58.97484515231955,67.78894319803273,29.24144124614837,32.04714953861711,26.546039649048243,7.288295681526098,8.97800530906333,5.665017152919032
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,33.65462662337662,26.547738428247214,40.230502515016845,60.37439123376623,66.91824563255396,54.31948039263565,5.970982142857143,6.5340159391988175,5.450017092347512
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,29.08233764122572,30.289334741288275,27.963347299996084,61.881248475981465,61.930306230200635,61.83576770959783,9.036413882792814,7.7803590285110875,10.200884990406077
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,76.74099877223539,77.53750586029066,75.98418620190434,20.89198526682466,19.28035630567276,22.423297510997273,2.3670159609399537,3.1821378340365682,1.5925162870983907
