,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,46.11479583419,42.58453428772449,49.6227770197808,49.13225308434068,51.784743321951886,46.496503374005655,4.752951081469315,5.630722390323626,3.8807196062135425
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",82.23491894764815,77.5445832827854,87.9130562490821,16.07759766144034,21.06029358243358,10.045527977676604,1.6874833909115066,1.3951231347810262,2.0414157732412983
2,Ulster County (East) PUMA,31.944398367780245,25.850832729905864,38.13536650615303,62.14378130909333,66.52952406029885,57.68793472445159,5.911820323126431,7.6196432097952735,4.176698769395398
3,Albany County (East Central)--Albany City PUMA,54.29528134862597,49.929883606787264,59.6075085324232,40.28558232622585,42.05581264899734,38.13139931740614,5.4191363251481794,8.014303744215399,2.2610921501706485
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,27.053688734495733,28.317530117722505,25.858034321372852,66.72901774778988,61.73789565297054,71.45085803432137,6.2172935177143875,9.94457422930695,2.691107644305772
5,Ontario & Yates Counties PUMA,37.60673782521681,31.909701037217815,43.12495895987918,57.29486324216144,62.121212121212125,52.62000131328387,5.098398932621747,5.969086841570062,4.255039726836956
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,43.63453496373935,34.5784875931186,52.4708466244836,53.32168757609443,60.51235328795755,46.30549599958165,3.043777460166217,4.909159118923843,1.2236573759347382
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,62.3980771571133,63.7247751033309,61.068469785575054,35.27138858464159,34.567225869195234,35.9770955165692,2.330534258245102,1.7079990274738635,2.9544346978557505
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",27.087693595646716,20.44681014407452,34.03173583794921,66.85197781498535,73.66481562044169,59.72813143881619,6.060328589367937,5.888374235483789,6.240132723234593
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,32.78614348801853,32.19736794402349,33.37308901658896,61.50546586548903,60.13849109959033,62.86819183924247,5.708390646492434,7.66414095638618,3.758719144168564
