,puma,Percentage_mf_t,Percentage_m,Percentage_f
146,Capital Region,11.35236458780802,12.493222833242971,10.192186515437934
147,Central NY,15.799051147072204,17.17198464186416,14.475363798825631
148,Finger Lakes,16.04572557062018,16.200831934612857,15.87741526765917
149,Long Island,40.621623106650304,43.89084776943125,37.24943025905772
150,Mid-Hudson,43.653662729766964,47.51963404245387,39.716944137463905
151,Mohawk Valley,16.139014520352298,21.09746930593836,11.652686465654046
152,New York City,33.57675281631388,34.692026510908704,32.45867097089896
153,North Country,30.33912324234905,35.7538261152719,24.747814391392065
154,Southern Tier,11.265727856011999,13.398025195778004,9.221478700832382
155,Western NY,12.121339793553824,10.758139903351026,13.669906407487401
