,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,53.423879086913594,56.30540000973851,50.537168635439464,46.57612091308641,43.69459999026148,49.46283136456053
1,Westchester County (Southwest)--Yonkers City PUMA,65.17598546954004,69.85473335283221,60.43108562388768,34.82401453045997,30.14526664716779,39.56891437611232
2,St. Lawrence County PUMA,84.72727272727273,77.90697674418605,96.11650485436894,15.272727272727273,22.093023255813954,3.8834951456310676
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",66.61125623367371,69.73748773307163,63.67924528301887,33.38874376632629,30.26251226692836,36.32075471698113
4,Erie County (Central) PUMA,89.35361216730038,95.05494505494505,76.5432098765432,10.646387832699618,4.945054945054945,23.456790123456788
5,Monroe County (South) PUMA,76.48578811369508,94.33333333333334,65.18987341772153,23.51421188630491,5.666666666666666,34.810126582278485
6,Onondaga County (North) PUMA,94.3342776203966,84.12698412698413,100.0,5.6657223796034,15.873015873015872,0.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",42.04197824609109,45.52645456143435,38.78104951472282,57.95802175390891,54.47354543856565,61.218950485277176
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",72.1058434399118,70.28985507246377,77.88018433179722,27.894156560088202,29.71014492753623,22.119815668202765
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,72.33074658817233,66.54761904761905,77.05396208070005,27.669253411827672,33.45238095238095,22.946037919299954
10,Suffolk County (Northwest)--Smithtown Town PUMA,84.23586040914562,87.16216216216216,76.98744769874477,15.764139590854393,12.837837837837837,23.01255230125523
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",50.150330727600725,50.872185220424996,49.49985710202915,49.849669272399275,49.127814779575004,50.500142897970846
12,Dutchess County (Southwest) PUMA,68.90362856028092,70.35864978902954,67.09027169149869,31.09637143971908,29.64135021097046,32.909728308501315
13,Ulster County (East) PUMA,64.87625065824118,72.09775967413442,57.14285714285714,35.12374934175882,27.90224032586558,42.857142857142854
14,Orange County (Northwest) PUMA,65.02151354087573,70.26773132926256,58.89132821075741,34.97848645912428,29.732268670737433,41.10867178924259
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",48.59031538706595,54.01459854014598,42.880496975641655,51.40968461293406,45.98540145985402,57.119503024358345
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",87.7442996742671,98.28009828009829,77.32793522267207,12.2557003257329,1.71990171990172,22.672064777327936
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",40.72262543389082,42.80011405759909,38.1490639350053,59.27737456610919,57.19988594240091,61.8509360649947
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",63.5511251480458,64.85081809432145,62.18351225440551,36.4488748519542,35.14918190567854,37.81648774559449
19,Monroe County (Central)--Greece & Gates Towns PUMA,82.97872340425532,86.94029850746269,79.3918918918919,17.02127659574468,13.059701492537313,20.60810810810811
