,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,50.45300765826851,53.46215729894924,47.474287365782246,49.54699234173148,46.53784270105075,52.52571263421775
1,Westchester County (Southwest)--Yonkers City PUMA,60.87032050725267,66.39588859416446,54.78927203065134,39.12967949274733,33.604111405835546,45.21072796934866
2,St. Lawrence County PUMA,82.35294117647058,77.66990291262135,92.0,17.647058823529413,22.330097087378643,8.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",66.94329183955739,71.87264506405425,62.217807476973086,33.0567081604426,28.127354935945743,37.78219252302691
4,Erie County (Central) PUMA,75.43859649122807,88.60759493670885,45.714285714285715,24.561403508771928,11.39240506329114,54.285714285714285
5,Monroe County (South) PUMA,88.88888888888889,95.20958083832335,83.15217391304348,11.11111111111111,4.790419161676647,16.847826086956523
6,Onondaga County (North) PUMA,100.0,100.0,100.0,0.0,0.0,0.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",40.30849825378347,44.12108461898083,36.52597402597403,59.69150174621654,55.87891538101917,63.47402597402597
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",64.45698166431593,62.430939226519335,71.08433734939759,35.54301833568406,37.569060773480665,28.915662650602407
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,66.42992424242425,55.19125683060109,75.02088554720133,33.57007575757576,44.80874316939891,24.97911445279866
10,Suffolk County (Northwest)--Smithtown Town PUMA,98.24561403508771,100.0,90.32258064516128,1.7543859649122806,0.0,9.67741935483871
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",48.925556408288564,49.62226640159046,48.275862068965516,51.074443591711436,50.37773359840955,51.724137931034484
12,Dutchess County (Southwest) PUMA,66.80420105026256,69.53846153846153,62.53602305475504,33.19579894973743,30.461538461538463,37.46397694524496
13,Ulster County (East) PUMA,61.32075471698113,69.0909090909091,52.94117647058824,38.67924528301887,30.909090909090907,47.05882352941176
