,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,84.35935983558203,85.70866864137984,83.09383028678901,15.64064016441797,14.291331358620146,16.906169713210982
1,Westchester County (Southwest)--Yonkers City PUMA,88.43548653560218,90.09384775808134,86.93324937027708,11.56451346439782,9.906152241918665,13.066750629722923
2,St. Lawrence County PUMA,78.2448377581121,83.68495077355837,72.24806201550388,21.755162241887906,16.31504922644163,27.751937984496124
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",77.7421423989737,81.14126652748782,74.83640690065437,22.2578576010263,18.858733472512178,25.163593099345626
4,Erie County (Central) PUMA,69.0,78.69047619047619,61.98275862068966,31.0,21.30952380952381,38.01724137931035
5,Monroe County (South) PUMA,88.64,92.94670846394985,84.15032679738562,11.360000000000001,7.053291536050156,15.849673202614378
6,Onondaga County (North) PUMA,95.33508541392905,96.02356406480118,94.78054567022538,4.664914586070959,3.9764359351988214,5.2194543297746145
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",66.95501730103807,86.21794871794873,44.3609022556391,33.04498269896194,13.782051282051283,55.639097744360896
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",81.25,80.60046189376443,81.83716075156576,18.75,19.399538106235568,18.16283924843424
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,77.386150966937,79.47882736156352,75.46379413524835,22.61384903306301,20.521172638436482,24.536205864751643
10,Suffolk County (Northwest)--Smithtown Town PUMA,95.2755905511811,96.05734767025089,94.32314410480349,4.724409448818897,3.942652329749104,5.676855895196507
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",90.29850746268657,93.54838709677419,85.84070796460178,9.701492537313433,6.451612903225806,14.15929203539823
12,Dutchess County (Southwest) PUMA,96.40542133176193,97.86324786324786,95.37688442211055,3.5945786682380674,2.1367521367521367,4.623115577889447
13,Ulster County (East) PUMA,96.70442842430485,98.0565371024735,94.81481481481482,3.2955715756951593,1.9434628975265018,5.185185185185185
14,Orange County (Northwest) PUMA,85.61710398445092,79.52622673434855,93.83561643835617,14.382896015549077,20.473773265651438,6.164383561643835
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",74.62873875758208,77.87356321839081,71.25799573560766,25.3712612424179,22.126436781609197,28.742004264392325
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",99.10099733108582,100.0,98.25279825279826,0.8990026689141734,0.0,1.7472017472017474
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",70.89717555842718,75.12776831345826,66.87083408394884,29.102824441572828,24.87223168654174,33.129165916051164
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",91.0394265232975,92.1451355661882,89.7986577181208,8.960573476702509,7.854864433811802,10.201342281879194
19,Monroe County (Central)--Greece & Gates Towns PUMA,86.30865989356555,87.10204081632654,85.1543942992874,13.691340106434446,12.897959183673468,14.84560570071259
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,86.59156976744185,84.52340280150324,88.94062863795111,13.408430232558139,15.476597198496755,11.059371362048893
21,Orange County (Northeast)--Greater Newburgh City PUMA,84.16243654822335,85.44061302681992,82.72138228941685,15.83756345177665,14.559386973180077,17.278617710583152
22,Suffolk County (East) PUMA,86.04651162790698,82.42280285035629,89.28381962864721,13.953488372093023,17.577197149643705,10.716180371352785
23,Tompkins County PUMA,95.24245196706312,91.0958904109589,100.0,4.757548032936871,8.904109589041095,0.0
24,Monroe County (Central)--Rochester City (East) PUMA,66.56848306332842,78.22784810126582,50.352112676056336,33.43151693667157,21.772151898734176,49.647887323943664
25,Ontario & Yates Counties PUMA,87.99472295514512,100.0,77.19298245614034,12.005277044854882,0.0,22.807017543859647
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",68.0,74.03628117913831,59.72006220839814,32.0,25.963718820861676,40.27993779160187
27,Chautauqua County PUMA,100.0,100.0,100.0,0.0,0.0,0.0
