,puma,ENG_prof_mf_t,ENG_prof_m,ENG_prof_f,NO_ENG_prof_mf_t,NO_ENG_prof_m,NO_ENG_prof_f
0,Total Geo,92.91851877625936,92.84589567685848,92.98309619360332,7.081481223740638,7.154104323141522,7.016903806396692
1,Westchester County (Southwest)--Yonkers City PUMA,96.11982643524699,94.08307210031349,97.63081395348837,3.880173564753004,5.916927899686521,2.369186046511628
2,St. Lawrence County PUMA,91.38576779026218,90.49586776859503,100.0,8.614232209737828,9.50413223140496,0.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",94.21891604675878,95.48949256791389,93.31880900508351,5.781083953241232,4.51050743208611,6.681190994916484
4,Erie County (Central) PUMA,90.67796610169492,92.79475982532752,89.0728476821192,9.322033898305085,7.20524017467249,10.927152317880795
5,Monroe County (South) PUMA,92.82153539381855,88.62559241706161,100.0,7.178464606181456,11.374407582938389,0.0
6,Onondaga County (North) PUMA,100.0,100.0,100.0,0.0,0.0,0.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",93.83299136696218,94.60634656304931,93.27652775928638,6.167008633037823,5.393653436950689,6.72347224071362
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",90.42553191489363,89.5482728077945,95.72192513368985,9.574468085106384,10.45172719220549,4.27807486631016
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,99.82698961937716,99.63369963369964,100.0,0.17301038062283738,0.3663003663003663,0.0
10,Suffolk County (Northwest)--Smithtown Town PUMA,99.33142311365806,98.8255033557047,100.0,0.6685768863419294,1.174496644295302,0.0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",92.85238031737565,91.96710942441493,93.49780954576896,7.14761968262435,8.032890575585071,6.502190454231036
12,Dutchess County (Southwest) PUMA,98.4225621414914,98.64332603938732,98.15692469720906,1.577437858508604,1.3566739606126914,1.8430753027909426
13,Ulster County (East) PUMA,95.37629119527791,93.06418219461698,97.46954076850984,4.623708804722085,6.935817805383023,2.530459231490159
14,Orange County (Northwest) PUMA,98.82720875684127,97.9381443298969,99.62839093273877,1.1727912431587177,2.0618556701030926,0.37160906726124115
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",94.70071932950572,93.13158285120902,95.95815501664289,5.299280670494292,6.868417148790981,4.041844983357109
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",98.97304236200257,100.0,98.05510534846029,1.0269576379974326,0.0,1.9448946515397085
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",93.38474025974025,94.1346850108617,92.42843951985226,6.615259740259741,5.865314989138305,7.571560480147737
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",91.85514918190569,90.44811320754717,93.32023575638507,8.144850818094323,9.55188679245283,6.679764243614931
19,Monroe County (Central)--Greece & Gates Towns PUMA,97.96472184531886,97.90849673202614,98.02538787023978,2.03527815468114,2.091503267973856,1.9746121297602257
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,97.32255620106088,96.5605749486653,98.06066633515664,2.677443798939126,3.4394250513347027,1.9393336648433617
21,Orange County (Northeast)--Greater Newburgh City PUMA,93.39709398565385,90.25923016496465,96.1604980975441,6.602906014346146,9.74076983503535,3.8395019024558974
22,Suffolk County (East) PUMA,81.0374149659864,95.18987341772151,52.07253886010362,18.962585034013603,4.810126582278481,47.92746113989637
23,Tompkins County PUMA,99.41176470588235,98.88888888888889,100.0,0.5882352941176471,1.1111111111111112,0.0
