,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,372420,232022,140398,44056.32868535524,45378.17289308772,41871.84645080414,87654,43582,44072,69329.74076482534,76794.8553760727,61947.62456888727,205865,127849,78016,38380.161688485176,40899.76580184436,34251.151404840035,78901,60591,18310,30789.176892561565,32230.31285174366,26020.205352266523
1,Westchester County (Southwest)--Yonkers City PUMA,8694,5449,3245,51187.88532321141,53151.921453477706,47889.87827426811,2495,1291,1204,83624.78356713426,88039.9535243997,78890.57724252492,4655,2870,1785,37570.062298603654,41824.50871080139,30729.579831932773,1544,1288,256,39828.367875647666,43423.05900621118,21742.578125
2,St. Lawrence County PUMA,101,56,45,73075.24752475247,82696.42857142857,61102.22222222222,49,23,26,112020.40816326531,161608.69565217392,68153.84615384616,46,27,19,38686.95652173913,29703.703703703704,51452.63157894737,6,6,0,18666.666666666668,18666.666666666668,0.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",7456,4465,2991,43948.36909871244,46394.732362821946,40296.40922768305,1443,536,907,58420.59598059598,69649.55223880598,51784.74090407938,4911,3149,1762,42104.21502748931,45080.37472213401,36785.300794551644,1102,780,322,33216.2613430127,35720.794871794875,27149.378881987577
4,Erie County (Central) PUMA,139,102,37,30647.48201438849,33892.1568627451,21702.702702702703,51,36,15,25976.470588235294,23050.0,33000.0,52,30,22,27646.153846153848,37653.333333333336,14000.0,36,36,0,41600.0,41600.0,0.0
5,Monroe County (South) PUMA,379,216,163,55811.044854881264,55807.916666666664,55815.19018404908,179,42,137,73938.97206703911,103333.33333333333,64927.562043795624,130,104,26,27316.153846153848,32195.19230769231,7800.0,70,70,0,62374.42857142857,62374.42857142857,0.0
6,Onondaga County (North) PUMA,254,106,148,64927.16535433071,72018.8679245283,59847.97297297297,138,17,121,65989.13043478261,75000.0,64723.14049586777,116,89,27,63663.793103448275,71449.4382022472,38000.0,0,0,0,#DIV/0!,0.0,0.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",6717,4166,2551,37283.98094387375,38834.56553048488,34751.74441395531,824,425,399,55623.179611650485,53212.94117647059,58190.47619047619,4878,2938,1940,36283.45633456334,40647.24302246426,29674.79381443299,1015,803,212,27204.23645320197,24592.403486924035,37097.16981132075
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",271,163,108,47865.64575645756,42064.41717791411,56621.2037037037,37,27,10,108394.32432432432,121500.0,73009.0,199,101,98,35180.90452261306,16000.0,54948.97959183674,35,35,0,56000.0,56000.0,0.0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,2142,998,1144,41283.80018674136,44010.22044088176,38905.332167832166,118,48,70,84000.0,86416.66666666667,82342.85714285714,1480,761,719,40616.01351351351,43064.12614980289,38024.89568845619,544,189,355,33834.92647058824,37049.735449735446,32123.38028169014
