,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,216766,134274,82492,38818.912001882214,39696.085504267394,37391.1178538525,42559,19906,22653,57093.98982588877,61126.179393147795,53550.76087052488,125376,76945,48431,36262.77163093415,38273.109987653515,33068.836241250436,48831,37423,11408,29454.156376072577,31222.77770355129,23652.3404628331
1,Westchester County (Southwest)--Yonkers City PUMA,5028,3221,1807,51581.88544152745,54878.261409500155,45706.05423353625,1445,839,606,87866.10380622838,93909.39213349225,79499.2409240924,2716,1710,1006,34927.687776141385,37992.33918128655,29718.389662027832,867,672,195,43279.815455594005,49116.07142857143,23167.17948717949
2,St. Lawrence County PUMA,36,21,15,115194.44444444444,156047.61904761905,58000.0,15,15,0,211000.0,211000.0,0.0,15,0,15,58000.0,0.0,58000.0,6,6,0,18666.666666666668,18666.666666666668,0.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4638,3051,1587,43509.368262181975,45569.79351032448,39548.2104599874,619,267,352,54288.31987075929,63953.40823970037,46957.130681818184,3210,2267,943,43959.221183800626,44935.641817379794,41611.8769883351,809,517,292,33476.98393077874,38856.441005802706,23952.397260273974
4,Erie County (Central) PUMA,52,52,0,37280.769230769234,37280.769230769234,0.0,12,12,0,39150.0,39150.0,0.0,16,16,0,21600.0,21600.0,0.0,24,24,0,46800.0,46800.0,0.0
5,Monroe County (South) PUMA,178,92,86,54075.14606741573,38590.217391304344,70640.41860465116,86,0,86,70640.41860465116,0.0,70640.41860465116,73,73,0,38223.28767123288,38223.28767123288,0.0,19,19,0,40000.0,40000.0,0.0
6,Onondaga County (North) PUMA,144,70,74,64378.47222222222,50771.42857142857,77250.0,91,17,74,76829.67032967033,75000.0,77250.0,53,53,0,43000.0,43000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",4626,2932,1694,36410.91655858193,40212.00545702592,29831.936245572608,447,281,166,52124.60850111857,50885.05338078292,54222.89156626506,3517,2076,1441,37489.08160363947,43992.96724470135,28119.15336571825,662,575,87,20072.658610271905,21345.217391304348,11662.068965517241
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",148,90,58,44970.2027027027,63450.0,16294.655172413793,35,27,8,111731.14285714286,121500.0,78761.25,78,28,50,10064.102564102564,16785.714285714286,6300.0,35,35,0,56000.0,56000.0,0.0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,1254,505,749,39609.33014354067,38099.40594059406,40627.36982643525,43,14,29,91627.90697674418,100000.0,87586.20689655172,906,370,536,36447.79249448123,36372.43243243243,36499.81343283582,305,121,184,41666.88524590164,36218.181818181816,45250.0
