,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,270664,158019,112645,81485.96168681465,92799.57315892393,65615.16785476496,150730,80721,70009,104578.40856498375,126370.96361541607,79451.39866302905,102999,64719,38280,52838.631598365035,58489.662572042216,43284.58056426332,16935,12579,4356,50185.21375848834,53892.417918753476,39479.7681359045
1,Westchester County (Southwest)--Yonkers City PUMA,3552,2256,1296,72217.5365990991,75448.34219858157,66593.54166666667,1667,935,732,85633.84523095381,93944.21390374332,75018.82513661202,1479,1010,469,55763.13049357674,62102.59405940594,42110.98081023454,406,311,95,77072.41379310345,63183.27974276528,122541.05263157895
2,St. Lawrence County PUMA,617,349,268,69374.39222042139,68244.12607449856,70846.26865671642,295,95,200,104381.35593220338,142331.57894736843,86355.0,232,195,37,46112.5,49751.282051282054,26935.135135135137,90,59,31,14593.333333333334,10071.186440677966,23200.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3095,1821,1274,60989.586429725365,63938.98407468424,56773.846153846156,918,403,515,75071.78649237473,90911.66253101737,62676.69902912621,1644,1010,634,55639.142335766424,55421.039603960395,55986.59305993691,533,408,125,53238.499061913695,58382.94117647059,36447.04
4,Erie County (Central) PUMA,945,532,413,39781.12169312169,40450.338345864664,38919.0799031477,250,82,168,50721.52,51664.634146341465,50261.19047619047,619,387,232,36357.576736672054,39110.18087855297,31765.94827586207,76,63,13,31676.842105263157,34086.34920634921,20000.0
5,Monroe County (South) PUMA,1546,929,617,84287.60672703752,93261.6146393972,70775.68881685575,1098,617,481,97325.81056466303,108923.88978930308,82448.44074844074,410,289,121,52114.39024390244,61674.740484429065,29280.165289256198,38,23,15,54684.21052631579,70000.0,31200.0
6,Onondaga County (North) PUMA,990,546,444,53704.080808080806,57306.48351648352,49274.0990990991,467,275,192,71064.75374732334,71197.23636363636,70875.0,465,213,252,37307.096774193546,42620.18779342723,32816.269841269845,58,58,0,45379.31034482759,45379.31034482759,0.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",229,141,88,19467.248908296944,17432.624113475176,22727.272727272728,0,0,0,#DIV/0!,0.0,0.0,137,69,68,22941.605839416057,22652.17391304348,23235.29411764706,92,72,20,14293.478260869566,12430.555555555555,21000.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",462,208,254,47796.77489177489,57329.855769230766,39990.15748031496,160,50,110,68368.125,84636.0,60973.63636363636,238,109,129,34820.84033613445,48394.12844036697,23351.937984496122,64,49,15,44622.65625,49343.87755102041,29200.0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,1531,1039,492,66053.5009797518,69546.20789220404,58677.64227642276,543,287,256,93420.99447513813,104625.08710801393,80860.15625,856,653,203,50582.02102803739,54978.57580398162,36439.40886699507,132,99,33,53803.78787878788,63940.40404040404,23393.939393939392
10,Suffolk County (Northwest)--Smithtown Town PUMA,932,667,265,88376.48068669529,92136.55172413793,78912.45283018867,572,381,191,101691.3986013986,107315.69553805774,90472.25130890052,331,257,74,70813.89728096676,77073.15175097276,49075.67567567567,29,29,0,26206.896551724138,26206.896551724138,0.0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",556,374,182,55603.41726618705,64082.085561497326,38180.21978021978,148,110,38,89108.1081081081,107800.0,35000.0,369,249,120,45167.20867208672,46219.67871485944,42983.333333333336,39,15,24,27200.0,40000.0,19200.0
12,Dutchess County (Southwest) PUMA,1001,510,491,59262.22777222777,61944.490196078434,56476.17107942973,498,192,306,79938.13253012048,95884.32291666667,69932.67973856209,447,262,185,38589.26174496644,41675.57251908397,34218.37837837838,56,56,0,40408.92857142857,40408.92857142857,0.0
13,Ulster County (East) PUMA,424,358,66,67989.17452830188,67769.0502793296,69183.18181818182,156,112,44,124221.73076923077,140111.60714285713,83774.77272727272,218,196,22,35111.55963302752,34562.857142857145,40000.0,50,50,0,35890.0,35890.0,0.0
14,Orange County (Northwest) PUMA,589,350,239,69063.39558573854,72658.97142857143,63797.907949790795,218,75,143,73332.29357798165,65276.53333333333,77557.34265734266,287,191,96,63217.770034843204,73227.74869109948,43302.083333333336,84,84,0,77957.14285714286,77957.14285714286,0.0
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",2508,1641,867,46835.32296650718,48221.870810481414,44210.957324106115,864,537,327,59290.2662037037,57228.845437616386,62675.53516819572,1424,939,485,40040.02808988764,43616.61341853035,33115.463917525776,220,165,55,41905.454545454544,45116.36363636364,32272.727272727272
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",5331,3123,2208,169709.90189457888,202418.8078770413,123446.35416666667,4654,2689,1965,182594.2279759347,219015.986240238,132752.951653944,365,233,132,55783.42465753425,49514.80686695279,66848.48484848485,312,201,111,110798.07692307692,157626.8656716418,26000.0
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",4426,2943,1483,49787.153185720745,54605.84437648658,40224.50438300742,1796,954,842,65072.23830734967,80256.70859538784,47867.980997624705,2158,1584,574,38678.776645041704,41378.156565656565,31229.616724738677,472,405,67,42413.983050847455,45918.765432098764,21228.358208955226
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",2963,1902,1061,58780.2328720891,63352.20820189275,50584.288407163054,1472,863,609,71567.81929347826,83976.5932792584,53983.6288998358,1362,925,437,47373.715124816445,47728.75675675676,46622.19679633867,129,114,15,33294.573643410855,33991.228070175435,28000.0
19,Monroe County (Central)--Greece & Gates Towns PUMA,1014,631,383,53883.78698224852,63111.50554675119,38680.93994778068,272,161,111,81818.38235294117,101968.94409937889,52590.99099099099,700,443,257,43707.171428571426,49543.61173814898,33646.69260700389,42,27,15,42584.28571428572,54020.0,22000.0
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3038,2076,962,109390.73732718894,117489.91329479769,91912.68191268192,1350,773,577,175542.7037037037,210994.11384217336,128048.87348353553,1377,1116,261,59501.459694989106,63862.82258064516,40852.87356321839,311,187,124,43128.295819935694,51014.438502673795,31235.483870967742
21,Orange County (Northeast)--Greater Newburgh City PUMA,657,420,237,59622.80060882801,70351.85714285714,40609.28270042194,278,167,111,80885.53956834532,90755.56886227545,66036.03603603604,312,186,126,34728.846153846156,45919.354838709674,18209.52380952381,67,67,0,87322.3880597015,87322.3880597015,0.0
22,Suffolk County (East) PUMA,2174,1164,1010,84087.04691812328,113872.50859106529,49760.039603960395,755,381,374,120497.40397350994,174790.28871391076,65188.342245989305,1330,719,611,64561.12781954887,84524.47844228095,41069.06710310966,89,64,25,67004.49438202247,80928.125,31360.0
23,Tompkins County PUMA,724,397,327,77516.85082872928,103035.26448362721,46535.779816513765,579,314,265,88288.94645941278,117719.74522292994,53416.22641509434,145,83,62,34502.75862068965,47481.927710843374,17127.41935483871,0,0,0,#DIV/0!,0.0,0.0
24,Monroe County (Central)--Rochester City (East) PUMA,270,219,51,67298.44444444444,74735.61643835617,35362.35294117647,104,80,24,98671.15384615384,115822.5,41500.0,144,117,27,51205.416666666664,56120.51282051282,29906.666666666668,22,22,0,24327.272727272728,24327.272727272728,0.0
25,Ontario & Yates Counties PUMA,573,337,236,116134.93891797557,173818.99109792284,33764.06779661017,407,322,85,153777.19901719902,179624.22360248448,55862.58823529412,149,15,134,23140.939597315435,49200.0,20223.880597014926,17,0,17,30000.0,0.0,30000.0
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",689,539,150,30954.86211901306,27714.285714285714,42599.333333333336,175,156,19,28548.571428571428,22891.02564102564,75000.0,306,253,53,35849.67320261438,30790.513833992096,60000.0,208,130,78,25778.365384615383,27515.384615384617,22883.333333333332
27,Chautauqua County PUMA,253,170,83,55168.75889328063,64144.09411764706,36785.5421686747,111,60,51,74334.1981981982,103318.26666666666,40235.294117647056,127,95,32,39028.34645669291,41635.78947368421,31287.5,15,15,0,50000.0,50000.0,0.0
28,Genesee & Orleans Counties PUMA,77,51,26,50610.38961038961,62078.43137254902,28115.384615384617,6,0,6,42500.0,0.0,42500.0,71,51,20,51295.77464788732,62078.43137254902,23800.0,0,0,0,#DIV/0!,0.0,0.0
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",16077,8508,7569,64975.13366921689,72591.63457921956,56413.73985995508,10307,5002,5305,74913.89288832832,85861.11095561775,64591.93534401508,5147,2994,2153,48136.667961919564,56826.00200400801,36053.12587087785,623,512,111,39660.19261637239,35147.0703125,60477.47747747748
30,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,800,536,264,69523.825,81630.70895522388,44943.181818181816,409,263,146,92815.7946210269,112108.97338403043,58061.643835616436,294,176,118,38064.62585034013,44335.22727272727,28711.86440677966,97,97,0,66663.9175257732,66663.9175257732,0.0
31,Westchester County (Central)--White Plains City PUMA,3009,1696,1313,154190.90063143903,207029.48113207548,85939.3907083016,2335,1277,1058,183543.25481798715,255761.00234925607,96376.84310018904,600,345,255,53257.36666666667,61109.27536231884,42634.19607843137,74,74,0,46385.13513513513,46385.13513513513,0.0
32,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3382,2274,1108,130250.20047309285,162385.83113456465,64296.74909747292,2014,1314,700,153097.0099304866,192279.13242009134,79546.56857142856,1176,777,399,103773.29931972788,137086.74388674388,38899.74937343358,192,183,9,52767.708333333336,55159.56284153005,4133.333333333333
33,Cattaraugus & Allegany Counties PUMA,178,90,88,49479.213483146064,56711.11111111111,42082.954545454544,85,20,65,54372.94117647059,75150.0,47980.0,79,56,23,48222.784810126584,57589.28571428572,25417.391304347828,14,14,0,26857.14285714286,26857.14285714286,0.0
34,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4288,2562,1726,78432.27402052238,86783.31420765027,66036.34994206257,2141,1205,936,96771.99486221392,115659.62738589212,72456.18589743589,1850,1131,719,64341.86486486487,67177.45358090186,59881.43254520167,297,226,71,33994.276094276094,30934.95575221239,43732.394366197186
35,Suffolk County (Northwest)--Huntington Town (North) PUMA,600,338,262,111822.83333333333,107790.23668639053,117025.19083969465,359,203,156,144750.6963788301,141268.47290640394,149282.05128205128,153,63,90,59232.67973856209,48819.04761904762,66522.22222222222,88,72,16,68927.27272727272,65000.0,86600.0
36,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1725,959,766,80025.62318840579,79657.00729927007,80487.11488250653,1262,615,647,93128.8589540412,98728.86178861788,87805.82689335394,408,289,119,36802.89215686275,35200.06920415225,40695.46218487395,55,55,0,100000.0,100000.0,0.0
