,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,531136,283571,247565,54794.323188411254,58356.95694552687,50713.5378708622,177408,78427,98981,77027.43496911075,88685.33446389636,67790.36842424303,302034,169162,132872,45605.69838826093,49811.00507797259,40251.83835571076,51694,35982,15712,32179.420261539057,32429.73350564171,31606.178716904276
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,3272,1552,1720,73226.77200488998,92337.94974226804,55982.267441860466,1179,324,855,99790.92451229856,177391.97530864197,70384.21052631579,1774,1008,766,58359.91995490417,69437.99404761905,43781.984334203655,319,220,99,57724.137931034486,72000.0,26000.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",427,137,290,56965.105386416864,113000.0,30493.44827586207,137,137,0,113000.0,113000.0,0.0,290,0,290,30493.44827586207,0.0,30493.44827586207,0,0,0,#DIV/0!,0.0,0.0
3,Cayuga & Onondaga (South) Counties PUMA,745,313,432,68657.71812080537,52727.15654952077,80200.0,432,0,432,80200.0,0.0,80200.0,205,205,0,55132.68292682927,55132.68292682927,0.0,108,108,0,48161.11111111111,48161.11111111111,0.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,7271,3801,3470,49447.76509420988,50553.48592475664,48236.57060518732,1217,272,945,70876.41741988497,90417.64705882352,65251.851851851854,5464,3188,2276,45776.92166910688,46793.350062735255,44353.20738137083,590,341,249,39242.372881355936,53909.09090909091,19156.626506024095
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",8868,4463,4405,62660.82949932341,70357.10284561953,54863.22043132804,3081,1154,1927,83189.93638429082,102937.17504332756,71364.13803840167,5057,2796,2261,54487.05596203283,63713.966380543636,43076.86510393631,730,513,217,32639.72602739726,33274.85380116959,31138.24884792627
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",15464,8784,6680,53734.24954733575,50116.90972222222,58490.94311377245,4711,2374,2337,59171.630227128,48741.1752316765,69767.22293538725,10195,5915,4280,52103.171652770965,51920.42857142857,52355.72429906542,558,495,63,37629.121863799286,35163.73737373737,57000.0
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",771,256,515,39762.619974059664,44030.9375,37640.8932038835,0,0,0,#DIV/0!,0.0,0.0,771,256,515,39762.619974059664,44030.9375,37640.8932038835,0,0,0,#DIV/0!,0.0,0.0
8,Erie County (Northwest) PUMA,1047,453,594,44347.27793696275,18642.384105960264,63950.50505050505,338,0,338,86111.2426035503,0.0,86111.2426035503,709,453,256,24437.235543018334,18642.384105960264,34691.40625,0,0,0,#DIV/0!,0.0,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,4918,3141,1777,73646.50264335096,78264.56542502387,65483.68036015757,2802,1722,1080,104945.96716630978,124296.51567944251,74092.5925925926,1740,1202,538,37180.747126436785,26231.28119800333,61644.05204460966,376,217,159,9150.0,1200.0,20000.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",1846,1149,697,117509.31744312026,142830.2872062663,75767.86226685796,1660,963,697,125409.75903614458,161339.56386292833,75767.86226685796,186,186,0,47000.0,47000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
11,Saratoga County (South & Central) PUMA,1382,960,422,48313.31403762663,44828.125,56241.70616113744,114,114,0,68500.0,68500.0,0.0,921,645,276,56916.39522258415,46511.62790697674,81231.88405797101,347,201,146,18847.26224783862,26000.0,9000.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,4094,1603,2491,58954.46995603322,59516.281971303804,58592.934564431955,1129,604,525,66712.6660761736,57658.27814569537,77129.52380952382,2965,999,1966,56000.33726812816,60639.63963963964,53642.92980671414,0,0,0,#DIV/0!,0.0,0.0
13,Columbia & Greene Counties PUMA,1204,543,661,31680.581395348836,23696.13259668508,38239.6671709531,430,247,183,38309.3023255814,26983.805668016194,53595.62841530055,293,23,270,40800.06825938567,10000.0,43423.77777777778,481,273,208,20199.5841995842,21875.457875457876,18000.0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,4319,2517,1802,63286.22366288493,71953.03933253874,51180.577136514985,523,344,179,134374.76099426387,150517.44186046513,103351.95530726257,3706,2083,1623,54310.091743119265,61231.7810849736,45426.61737523106,90,90,0,19800.0,19800.0,0.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,780,381,399,64297.4358974359,79640.41994750657,49646.61654135338,291,32,259,54192.43986254295,40468.75,55888.03088803089,470,330,140,71940.4255319149,86296.9696969697,38100.0,19,19,0,30000.0,30000.0,0.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2769,1604,1165,57645.44131455399,64950.67144638404,47587.424892703864,614,332,282,102021.53094462541,129830.78313253012,69281.56028368794,1897,1065,832,47294.02055877702,52050.75774647887,41205.168269230766,258,207,51,28148.25581395349,27260.869565217392,31750.0
17,Putnam County PUMA,2996,691,2305,51643.00066755674,55174.819102749636,50584.221258134494,928,332,596,79568.96551724138,72469.8795180723,83523.4899328859,1935,305,1630,38638.05167958656,42895.08196721312,37841.490797546016,133,54,79,45998.496240601504,18200.0,65000.0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1239,891,348,130963.11541565778,98371.49270482604,214408.908045977,764,416,348,170825.0,134365.38461538462,214408.908045977,342,342,0,69859.64912280702,69859.64912280702,0.0,133,133,0,59105.26315789474,59105.26315789474,0.0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,7506,4543,2963,51587.87370103917,55580.383006823686,45466.38542018225,2404,1614,790,61370.33277870216,61093.729863692686,61935.443037974685,4358,2252,2106,50012.23038090867,59669.80461811723,39685.13770180437,744,677,67,29208.333333333332,28833.08714918759,33000.0
20,Rockland County (North)--New City & Congers PUMA,3754,1907,1847,67283.80394246138,71805.97797587834,62614.726583649164,2095,841,1254,76249.64200477327,78575.50535077289,74689.79266347688,1507,1005,502,60597.478433974786,69892.53731343284,41988.84462151394,152,61,91,10000.0,10000.0,10000.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",10229,4936,5293,38822.72949457425,42122.447325769856,35745.56962025316,2037,718,1319,40623.71134020619,44225.626740947075,38663.002274450344,7410,3888,3522,39112.199730094464,41911.265432098764,36022.26007950029,782,330,452,31388.49104859335,40034.545454545456,25076.106194690266
22,Orange County (Northwest) PUMA,4401,1768,2633,66059.82731197456,76549.83031674208,59016.027345233575,2126,612,1514,86983.16086547507,146003.26797385621,63125.62747688243,1840,841,999,49729.40217391304,41670.749108204516,56513.51351351351,435,315,120,32875.862068965514,34733.333333333336,28000.0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3296,1739,1557,88300.59162621359,128666.73375503163,43215.992292870906,1898,1172,726,100524.20969441517,130724.7866894198,51770.66115702479,1398,567,831,71705.15021459227,124412.69841269842,35742.238267148015,0,0,0,#DIV/0!,0.0,0.0
24,Dutchess County (Southwest) PUMA,6544,3305,3239,60010.632640586795,69276.49016641453,50555.967891324486,1930,1531,399,93357.40932642487,95005.74787720444,87032.58145363409,4114,1397,2717,48575.54205153136,54916.96492483894,45314.97239602503,500,377,123,25380.0,18000.0,48000.0
25,Westchester County (Northwest) PUMA,3923,1385,2538,75465.63650267653,61652.9963898917,83003.26713947991,1927,363,1564,120182.35184224183,136053.4435261708,116498.71611253197,1556,582,974,35355.5912596401,45627.147766323025,29217.967145790553,440,440,0,21470.454545454544,21470.454545454544,0.0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1663,1205,458,91158.59891761876,75365.76763485477,132709.60698689957,830,451,379,108006.02409638555,76261.64079822616,145781.00263852242,833,754,79,74371.84873949579,74829.90716180371,70000.0,0,0,0,#DIV/0!,0.0,0.0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5300,2533,2767,82376.16981132075,76867.31148835373,87419.15431875677,3166,1323,1843,108000.03158559697,97654.34618291761,115426.69560499187,2059,1135,924,43608.83924235065,53421.32158590308,31555.627705627707,75,75,0,65000.0,65000.0,0.0
28,Saratoga County (Outer) PUMA,781,520,261,69686.29961587708,69023.07692307692,71007.66283524904,302,165,137,117019.86754966888,127000.0,105000.0,330,206,124,43836.36363636364,50087.3786407767,33451.6129032258,149,149,0,31000.0,31000.0,0.0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,7432,3925,3507,53687.960979547905,52103.24840764331,55461.55574565155,2141,962,1179,61702.24194301728,64964.65696465696,59040.28837998304,4850,2719,2131,52177.51051546392,48547.535858771604,56809.09244486157,441,244,197,31391.156462585033,41018.44262295082,19467.005076142133
30,Erie County (South) PUMA,842,91,751,34609.26365795724,43000.0,33592.54327563249,91,91,0,43000.0,43000.0,0.0,751,0,751,33592.54327563249,0.0,33592.54327563249,0,0,0,#DIV/0!,0.0,0.0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",3965,2243,1722,47969.51878940732,44748.68479714668,52164.83275261324,1764,906,858,55065.78344671202,48073.730684326714,62449.0,2074,1210,864,43646.62487945998,44856.61157024794,41952.083333333336,127,127,0,20000.0,20000.0,0.0
