,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.1039335408202862,0.10054754455176167,0.10688505150818943,0.2556996684506588,0.19670583602152095,0.3238566792680071,0.38991433769415723,0.356560613963192,0.44285443966128957
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,0.0,0.0,0.3737882900348972,0.3411619283065513,0.4287200832466181,0.5504950495049505,0.0,0.7473118279569892
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.16261808367071526,0.30851063829787234,0.07298474945533769,0.3257684573398449,0.32513469196533146,0.3267731154845897,0.2444528018051899,0.19027611044417767,0.33534743202416917
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.3391655450874832,0.4912621359223301,0.2584963954685891,0.10991297767688234,0.10588700118530225,0.11361161524500907,0.6751304347826087,0.7444598337950139,0.6051712089447938
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",0.062444641275465014,0.0,0.08952380952380952,0.19755747126436782,0.06818855618144086,0.31920825202118763,0.40280643829962853,0.32689556509299,0.5063414634146342
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
8,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.004271222637479978,0.011204481792717087,0.0,0.29254571026722925,0.03218116805721097,0.4613601236476043,0.3776595744680851,0.5311720698254364,0.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.0,0.0,0.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
11,Saratoga County (South & Central) PUMA,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.0,0.0,0.0,0.23160173160173161,#DIV/0!,0.23160173160173161,0.6228373702422145,0.6228373702422145,#DIV/0!
13,Columbia & Greene Counties PUMA,0.0,0.0,#DIV/0!,0.22966507177033493,0.0,0.26229508196721313,0.4205607476635514,0.4205607476635514,#DIV/0!
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,0.0,0.47811887655127366,0.42788461538461536,0.5845213849287169,0.45901639344262296,#DIV/0!,0.45901639344262296
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0197869101978691,0.05531914893617021,0.0,0.15910276473656756,0.24576954069298954,0.0,0.25274725274725274,0.22127659574468084,0.3277027027027027
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.0,0.0,0.0,0.5048367593712213,0.7014925373134329,0.41055456171735244,0.5775147928994083,0.6185737976782753,0.47520661157024796
17,Putnam County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.5950095969289827,0.694560669456067,0.5106382978723404
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.594059405940594,0.9302325581395349,0.0,0.09979838709677419,0.02015355086372361,0.18789808917197454,0.5915492957746479,0.6498054474708171,0.5434083601286174
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.1987673343605547,0.26926926926926925,0.12447257383966245,0.3617181612660136,0.29601941747572813,0.45907063731837144,0.40743034055727556,0.3611927761444771,0.5371024734982333
20,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,0.48514851485148514,0.47106109324758844,0.49247491638795987,0.0,0.0,0.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.14802867383512544,0.13959955506117908,0.16330645161290322,0.3229009930785435,0.16573621772505234,0.44206349206349205,0.5531704909943251,0.6457793889176593,0.4688972667295005
22,Orange County (Northwest) PUMA,0.0,0.0,0.0,0.07276402223345124,0.0,0.17391304347826086,0.0,0.0,#DIV/0!
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,#DIV/0!,0.0,0.10542168674698796,0.19230769230769232,0.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Dutchess County (Southwest) PUMA,0.0,0.0,0.0,0.21884984025559107,0.32084309133489464,0.0,0.0,0.0,0.0
25,Westchester County (Northwest) PUMA,0.0,0.0,0.0,0.2639773531493277,0.0,0.6844036697247706,0.28323970037453183,0.4330708661417323,0.0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.08914728682170543,0.0,0.11428571428571428,0.3741496598639456,0.26591511936339524,0.5175746924428822,0.3378812199036918,0.19987389659520807,0.5794701986754967
28,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.04989094874591058,0.0611189468735308,0.03439325113562622,0.19537677941752646,0.1242544731610338,0.2741535920726672,0.3749581519919652,0.2459016393442623,0.5976277372262774
30,Erie County (South) PUMA,0.468,1.0,0.0,0.2653061224489796,0.2653061224489796,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",0.4554759467758444,0.7827476038338658,0.30120481927710846,0.11602209944751381,0.08218125960061444,0.16666666666666666,0.6291600633914421,0.3567073170731707,0.9240924092409241
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.24528301886792453,0.3380281690140845,0.0,0.3006743355811186,0.009070294784580499,0.6227045075125208,0.7146017699115044,1.0,0.484
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.2208067940552017,0.0,0.2865013774104683,0.17253839205058719,0.3191311612364244,0.0,0.2975352112676056,0.3693989071038251,0.0
34,St. Lawrence County PUMA,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
35,Genesee & Orleans Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
36,Monroe County (Central)--Rochester City (West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.24193548387096775,#DIV/0!,0.24193548387096775,#DIV/0!,#DIV/0!,#DIV/0!
37,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
38,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
39,Erie County (North Central) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,#DIV/0!,0.0,0.5070422535211268,0.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
41,Dutchess County (North & East) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.5776699029126213,0.4687022900763359,1.0
42,Tompkins County PUMA,0.5194986072423399,0.6003805899143673,0.2987012987012987,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.22802960222016652,0.0668103448275862,0.5194805194805194,0.0,0.0,0.0,0.5956678700361011,0.5956678700361011,#DIV/0!
44,Onondaga County (Central)--Syracuse City PUMA,0.3765133171912833,0.27121464226289516,0.6577777777777778,0.6453831041257367,0.8416547788873039,0.2113564668769716,0.0,0.0,#DIV/0!
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,0.0,0.0,0.02037533512064343,0.0,0.09178743961352658,0.615686274509804,0.7136363636363636,0.0
46,Suffolk County (Northwest)--Smithtown Town PUMA,0.0,#DIV/0!,0.0,0.10298661174047374,0.10298661174047374,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,0.2436247723132969,0.11615487316421896,0.30960608154803043,0.29882044560943644,0.205,0.42214357937310415,0.32661290322580644,0.3054187192118227,0.3520710059171598
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,#DIV/0!,0.0,1.0,1.0,#DIV/0!,0.0,0.0,#DIV/0!
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
51,Erie County (West Central)--Buffalo City (West) PUMA,0.0,0.0,#DIV/0!,0.22340425531914893,0.3014354066985646,0.0,#DIV/0!,#DIV/0!,#DIV/0!
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
53,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,0.2243667068757539,0.0,0.2857142857142857,0.3016627078384798,0.13612565445026178,0.35023041474654376,0.734006734006734,0.734006734006734,#DIV/0!
55,Cattaraugus & Allegany Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",0.0,0.0,0.0,0.06875753920386007,0.0,0.2746987951807229,0.0,#DIV/0!,0.0
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
59,Jefferson & Lewis Counties PUMA,0.0,#DIV/0!,0.0,0.15454545454545454,0.0,0.18085106382978725,#DIV/0!,#DIV/0!,#DIV/0!
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,0.0,0.0,0.0,0.37961859356376637,0.0,0.459927797833935,0.38741721854304634,0.14351851851851852,1.0
61,Schenectady County--Schenectady City PUMA,0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,0.06609894566098945,0.05683563748079877,0.07646048109965636,0.4253183153770813,0.3211538461538462,0.533433133732535,0.3768877216021011,0.09957627118644068,0.8290155440414507
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.40784313725490196,0.5714285714285714,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
