,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.11551456487991964,0.1406990317928998,0.09546200109349372,0.26957764795227007,0.20924786481770594,0.3405381466238915,0.3977138696760102,0.3654538089451235,0.44840497229294596
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,0.0,0.0,0.5090802577621558,0.5041095890410959,0.5179738562091504,0.7473118279569892,#DIV/0!,0.7473118279569892
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.3613193403298351,0.42962962962962964,0.25572519083969464,0.39498278406296117,0.38091386979377273,0.41682360326428125,0.36107091172214184,0.3720657276995305,0.3433962264150943
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.6341107871720116,0.8057324840764332,0.489247311827957,0.0,0.0,0.0,0.8079625292740047,0.8401084010840109,0.7835051546391752
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",0.0,#DIV/0!,0.0,0.03378674857393594,0.0,0.102803738317757,0.409288824383164,0.29935622317596566,0.6390134529147982
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
8,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,#DIV/0!,0.0,0.14486326681448633,0.0,0.21948488241881298,0.0,0.0,0.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.0,0.0,0.0,0.3193548387096774,#DIV/0!,0.3193548387096774,1.0,1.0,#DIV/0!
13,Columbia & Greene Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.3125,#DIV/0!,0.3125,1.0,1.0,#DIV/0!
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0,0.0,#DIV/0!,0.18176400476758045,0.25608732157850544,0.0,0.18396226415094338,0.24036979969183359,0.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.0,0.0,0.0,0.43345323741007197,1.0,0.0,0.401006711409396,0.509594882729211,0.0
17,Putnam County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,1.0,1.0,#DIV/0!
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.594059405940594,0.9302325581395349,0.0,0.058922558922558925,0.08641975308641975,0.039886039886039885,0.7511111111111111,#DIV/0!,0.7511111111111111
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.19058823529411764,0.3084862385321101,0.06642512077294686,0.40336389120387905,0.3457863792258697,0.4967229394240318,0.3055406132329209,0.2594202898550725,0.4384133611691023
20,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,0.5868263473053892,0.5559772296015181,0.6034836065573771,0.0,0.0,0.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.19362400375058603,0.18018664752333094,0.21891891891891893,0.3402475161234094,0.13419293218720152,0.4586878945923689,0.5622079439252337,0.6191744340878829,0.5176899063475546
22,Orange County (Northwest) PUMA,0.0,0.0,0.0,0.15584415584415584,0.0,0.26716141001855287,0.0,0.0,#DIV/0!
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,#DIV/0!,0.0,0.12727272727272726,0.23076923076923078,0.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Dutchess County (Southwest) PUMA,0.0,#DIV/0!,0.0,0.31314285714285717,0.3816155988857939,0.0,0.0,#DIV/0!,0.0
25,Westchester County (Northwest) PUMA,0.0,0.0,0.0,0.15373831775700936,0.0,0.6070110701107011,0.1759478672985782,0.3129610115911486,0.0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0,0.34485349361382417,0.3365539452495974,0.352112676056338,0.5141903171953256,0.38939670932358317,0.6190476190476191
28,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.026407573492775286,0.0,0.07250341997264022,0.23489619780732446,0.1745227892481496,0.325,0.3888888888888889,0.3355408388520971,0.46864686468646866
30,Erie County (South) PUMA,0.0,#DIV/0!,0.0,0.2653061224489796,0.2653061224489796,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",0.09631728045325778,#DIV/0!,0.09631728045325778,0.13505311077389984,0.12449098312972659,0.14657360406091371,0.6499477533960293,0.31678486997635935,0.9138576779026217
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.7858942065491183,1.0,0.0,0.48202137998056366,0.0,0.5925925925925926,1.0,#DIV/0!,1.0
