,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.11061281805326187,0.10505759370072162,0.11560818488294565,0.20470601221576276,0.19192239643706913,0.21762232934301529,0.27635970333745363,0.2928530913216109,0.25661914460285135
1,Westchester County (Southwest)--Yonkers City PUMA,0.10949248120300752,0.10700389105058365,0.11181818181818182,0.25893215576073864,0.19727891156462585,0.31406844106463877,0.21934604904632152,0.25773195876288657,0.17630057803468208
2,St. Lawrence County PUMA,0.17061611374407584,0.43037974683544306,0.015151515151515152,0.18025751072961374,0.09090909090909091,0.35443037974683544,0.976878612716763,0.9689922480620154,1.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.08946322067594434,0.04931972789115646,0.11509229098805646,0.07538712306438468,0.08878127522195318,0.06172839506172839,0.024858757062146894,0.04356435643564356,0.0
4,Erie County (Central) PUMA,0.08722741433021806,0.16326530612244897,0.053811659192825115,0.4030373831775701,0.3511777301927195,0.4652956298200514,0.43349753694581283,0.34375,0.514018691588785
5,Monroe County (South) PUMA,0.07923697725605282,0.07854984894259819,0.07988587731811697,0.28900949796472186,0.3,0.2696629213483146,0.13793103448275862,0.2962962962962963,0.0
6,Onondaga County (North) PUMA,0.02847571189279732,0.0,0.06159420289855073,0.07095926412614981,0.053231939163498096,0.08032128514056225,0.26881720430107525,0.0,1.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",1.0,1.0,1.0,0.5163043478260869,0.7666666666666667,0.2765957446808511,0.539568345323741,0.46218487394957986,1.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.15637860082304528,0.0,0.19689119170984457,0.39944903581267216,0.3655913978494624,0.4350282485875706,0.375,0.4024390243902439,0.2727272727272727
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.18100558659217877,0.20947630922693267,0.15789473684210525,0.12283345892991711,0.0460431654676259,0.20727848101265822,0.0,0.0,0.0
10,Suffolk County (Northwest)--Smithtown Town PUMA,0.03617571059431524,0.06572769953051644,0.0,0.0963855421686747,0.04294478527607362,0.16470588235294117,0.20270270270270271,0.5172413793103449,0.0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.17708333333333334,0.0,0.4722222222222222,0.059734513274336286,0.0311284046692607,0.09743589743589744,0.0,0.0,0.0
12,Dutchess County (Southwest) PUMA,0.18873239436619718,0.21014492753623187,0.17511520737327188,0.13513513513513514,0.08157099697885196,0.1827956989247312,0.36180904522613067,0.6071428571428571,0.26573426573426573
13,Ulster County (East) PUMA,0.34,0.125,0.4411764705882353,0.5396145610278372,0.5211267605633803,0.5982142857142857,0.0,0.0,#DIV/0!
14,Orange County (Northwest) PUMA,0.31716417910447764,0.4,0.24475524475524477,0.08482142857142858,0.06220095693779904,0.10460251046025104,0.0,0.0,0.0
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",0.1739879414298019,0.2129032258064516,0.12939001848428835,0.17857142857142858,0.20863309352517986,0.1391509433962264,0.12098765432098765,0.15151515151515152,0.1
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.059063136456211814,0.0562100302928307,0.06196508045190004,0.16506410256410256,0.26180257510729615,0.10741687979539642,0.0,0.0,0.0
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",0.2348455966450629,0.2552653748946925,0.217966573816156,0.374320987654321,0.3818011257035647,0.3660062565172054,0.4087301587301587,0.3384615384615385,0.5363128491620112
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.15142576204523106,0.10030706243602866,0.1986754966887417,0.19930932412432165,0.2845117845117845,0.07866507747318235,0.17509727626459143,0.136986301369863,0.22522522522522523
19,Monroe County (Central)--Greece & Gates Towns PUMA,0.07336956521739131,0.0,0.16770186335403728,0.28983050847457625,0.29312762973352036,0.284796573875803,0.4449152542372881,0.5238095238095238,0.3146067415730337
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.058031088082901555,0.0720081135902637,0.04343220338983051,0.19718309859154928,0.09326845093268452,0.32954545454545453,0.2,0.26666666666666666,0.15526315789473685
21,Orange County (Northeast)--Greater Newburgh City PUMA,0.0,0.0,0.0,0.07633587786259542,0.0,0.16574585635359115,0.29906542056074764,0.0,0.8
22,Suffolk County (East) PUMA,0.021415270018621976,0.019834710743801654,0.023454157782515993,0.04946236559139785,0.054242002781641166,0.04645048203330412,0.07575757575757576,0.0,0.14705882352941177
23,Tompkins County PUMA,0.17039800995024876,0.19395465994962216,0.14742014742014742,0.2869198312236287,0.3851851851851852,0.1568627450980392,#DIV/0!,#DIV/0!,#DIV/0!
24,Monroe County (Central)--Rochester City (East) PUMA,0.0,0.0,0.0,0.2984126984126984,0.30917874396135264,0.2777777777777778,0.0,0.0,#DIV/0!
25,Ontario & Yates Counties PUMA,0.05043859649122807,0.0701219512195122,0.0,0.05670103092783505,0.3548387096774194,0.0,0.0,#DIV/0!,0.0
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.2827868852459016,0.30666666666666664,0.0,0.7487179487179487,0.8345588235294118,0.5508474576271186,0.5955334987593052,1.0,0.340080971659919
27,Chautauqua County PUMA,0.0,0.0,0.0,0.09302325581395349,0.0,0.2077922077922078,0.0,0.0,#DIV/0!
28,Genesee & Orleans Counties PUMA,0.0,#DIV/0!,0.0,0.1414141414141414,0.0,0.2916666666666667,0.0,0.0,#DIV/0!
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.09623464130003964,0.11157455683003129,0.08336977117038333,0.25090006207324644,0.19779669504256384,0.30312730854469344,0.3900841908325538,0.42097488921713444,0.336734693877551
30,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.14964788732394366,0.09900990099009901,0.20754716981132076,0.36036036036036034,0.5192307692307693,0.22033898305084745,0.4764705882352941,0.28865979381443296,0.726027397260274
31,Westchester County (Central)--White Plains City PUMA,0.031545741324921134,0.04030710172744722,0.023024268823895456,0.07621951219512195,0.028708133971291867,0.11130742049469965,0.07432432432432433,0.0,0.18333333333333332
32,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.07033842070338421,0.0625449317038102,0.07701786814540973,0.11134365843449141,0.09545875810936053,0.12442748091603054,0.12142857142857143,0.0,0.21518987341772153
33,Cattaraugus & Allegany Counties PUMA,0.2076923076923077,0.0,0.25961538461538464,0.19811320754716982,0.08196721311475409,0.35555555555555557,0.4230769230769231,0.42857142857142855,0.4166666666666667
34,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.1277037037037037,0.10465116279069768,0.14933946008041354,0.25828220858895706,0.21405335068314899,0.2977365060940221,0.44243421052631576,0.5267857142857143,0.3382352941176471
35,Suffolk County (Northwest)--Huntington Town (North) PUMA,0.0528169014084507,0.0599250936329588,0.046511627906976744,0.1278772378516624,0.22297297297297297,0.06995884773662552,0.11965811965811966,0.0,0.3111111111111111
36,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.10557768924302789,0.06386066763425254,0.14075887392900857,0.3685152057245081,0.40633245382585753,0.28888888888888886,0.017857142857142856,0.017857142857142856,#DIV/0!
37,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,0.16756134969325154,0.13454689354966362,0.19858683525474155,0.3803532542947012,0.4505840071877808,0.2983744100681699,0.4753623188405797,0.3324742268041237,0.5610510046367851
38,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.08489601091033072,0.09415584415584416,0.07465900933237617,0.4115755627009646,0.5014005602240896,0.29056603773584905,0.2535211267605634,0.5263157894736842,0.15384615384615385
39,Livingston & Wyoming Counties PUMA,0.0,0.0,0.0,0.19786096256684493,0.33636363636363636,0.0,0.0,0.0,0.0
40,Albany County (Outside Albany City) PUMA,0.07777777777777778,0.06355140186915888,0.09174311926605505,0.07001795332136446,0.08,0.06028368794326241,0.6524390243902439,1.0,0.5928571428571429
41,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.07706029254370317,0.07488087134104833,0.07946026986506746,0.3135802469135803,0.27631578947368424,0.34651162790697676,0.1935483870967742,1.0,0.0
42,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.019568151147098516,0.03284072249589491,0.010309278350515464,0.033264033264033266,0.0,0.06177606177606178,0.0,0.0,0.0
43,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",0.12189054726368159,0.11357702349869452,0.12945368171021376,0.14705882352941177,0.13165013525698827,0.16416416416416416,0.09051724137931035,0.13559322033898305,0.043859649122807015
44,Erie County (South) PUMA,0.0,0.0,0.0,0.10037174721189591,0.0,0.14361702127659576,#DIV/0!,#DIV/0!,#DIV/0!
45,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.023066277102875597,0.03251445086705202,0.01606425702811245,0.14699932569116655,0.08274894810659186,0.2064935064935065,0.0,0.0,0.0
46,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",0.0,0.0,0.0,0.14107883817427386,0.0,0.22818791946308725,0.0,0.0,0.0
47,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,0.1573170731707317,0.09951456310679611,0.21568627450980393,0.5888888888888889,0.5,0.6931034482758621,0.3717948717948718,0.18681318681318682,0.6307692307692307
48,Dutchess County (North & East) PUMA,0.1745152354570637,0.24875621890547264,0.08125,0.1629746835443038,0.2877094972067039,0.0,0.0,0.0,0.0
49,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.12568306010928962,0.0995850622406639,0.1461038961038961,0.36766623207301175,0.32242225859247137,0.39761646803900325,0.340153452685422,0.3076923076923077,0.3958333333333333
50,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.14720496894409937,0.12862547288776796,0.16523867809057527,0.24064171122994651,0.19665271966527198,0.28665207877461707,0.5530546623794212,0.8376068376068376,0.38144329896907214
51,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.43137254901960786,#DIV/0!,0.43137254901960786,0.34104046242774566,0.2947019867549669,0.6590909090909091,0.0,0.0,#DIV/0!
52,Warren & Washington Counties PUMA,0.11504424778761062,0.13513513513513514,0.09090909090909091,0.16558441558441558,0.07692307692307693,0.1956521739130435,0.0,0.0,#DIV/0!
53,Oswego County PUMA,0.04065040650406504,0.0,0.05102040816326531,0.12096774193548387,0.0,0.16853932584269662,0.0,0.0,#DIV/0!
54,Erie County (Northeast) PUMA,0.029508196721311476,0.0,0.0661764705882353,0.019753086419753086,0.03137254901960784,0.0,0.0,#DIV/0!,0.0
55,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0.11242603550295859,0.0,0.16379310344827586,0.1794871794871795,0.3076923076923077,0.05128205128205128,0.0,0.0,#DIV/0!
56,Saratoga County (South & Central) PUMA,0.020026702269692925,0.0,0.03048780487804878,0.03614457831325301,0.0,0.047244094488188976,1.0,#DIV/0!,1.0
57,Columbia & Greene Counties PUMA,0.16558441558441558,0.14835164835164835,0.19047619047619047,0.2916666666666667,0.3870967741935484,0.22872340425531915,0.0,0.0,0.0
58,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.11791938997821351,0.1422924901185771,0.09521304576538664,0.19752475247524753,0.174321503131524,0.2184557438794727,0.302158273381295,0.41818181818181815,0.13274336283185842
