,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,0.05795483986687128,0.05141211955031533,0.06301466690227955,0.06269784474143988,0.05226545257051734,0.07586408050167712,0.06091105266707128,0.04404440881374049,0.0991571641051066
1,Westchester County (Southwest)--Yonkers City PUMA,0.05485789821546596,0.11007957559681697,0.0,0.10040276179516686,0.12487611496531219,0.06652949245541838,0.21415441176470587,0.182175622542595,0.28923076923076924
2,St. Lawrence County PUMA,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.13126491646778043,0.19827586206896552,0.0836734693877551,0.05525751072961373,0.02920892494929006,0.1060965954077593,0.03775510204081633,0.02936096718480138,0.04987531172069826
4,Erie County (Central) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
5,Monroe County (South) PUMA,0.18867924528301888,1.0,0.0,0.17045454545454544,0.0,1.0,0.0,0.0,0.0
6,Onondaga County (North) PUMA,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",0.0,0.0,0.0,0.07041937654182552,0.05415309446254072,0.09036445332001997,0.038728897715988087,0.017711171662125342,0.09523809523809523
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.21818181818181817,0.0,0.2926829268292683,0.02608695652173913,0.0,0.04827586206896552,0.0,0.0,0.0
10,Suffolk County (Northwest)--Smithtown Town PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.13076923076923078,0.08433734939759036,0.15254237288135594,0.035541195476575124,0.0513595166163142,0.017361111111111112,0.0,0.0,0.0
12,Dutchess County (Southwest) PUMA,0.08648648648648649,0.0,0.24615384615384617,0.11712707182320442,0.0,0.3202416918429003,0.0,0.0,0.0
13,Ulster County (East) PUMA,0.29411764705882354,0.0,0.625,0.1390728476821192,0.0,0.42,0.0,0.0,#DIV/0!
14,Orange County (Northwest) PUMA,0.06944444444444445,0.0,0.09900990099009901,0.05641025641025641,0.011075949367088608,0.13994169096209913,0.05466237942122187,0.0,1.0
