,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,0.04742810455622708,0.038550727916473425,0.05675149095920355,0.05846309955898997,0.05458129697318165,0.0636122612043292,0.0606308146131155,0.05502230634040827,0.07208949040187819
1,Westchester County (Southwest)--Yonkers City PUMA,0.03969957081545064,0.0,0.08418657565415244,0.0693222969477496,0.039647577092511016,0.11152882205513784,0.04909090909090909,0.0764872521246459,0.0
2,St. Lawrence County PUMA,0.15789473684210525,0.3987341772151899,0.0,0.04415584415584416,0.04878048780487805,0.030612244897959183,0.028901734104046242,0.0,0.11363636363636363
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.05076551168412571,0.06277056277056277,0.043645699614890884,0.052342971086739784,0.07426597582037997,0.02240566037735849,0.012618296529968454,0.0,0.045714285714285714
4,Erie County (Central) PUMA,0.056338028169014086,0.16326530612244897,0.0,0.03531073446327684,0.05530973451327434,0.0,0.24299065420560748,0.16049382716049382,0.5
5,Monroe County (South) PUMA,0.0678391959798995,0.02527646129541864,0.11586452762923351,0.08185840707964602,0.11314984709480122,0.0,0.0,0.0,0.0
6,Onondaga County (North) PUMA,0.0,0.0,0.0,0.014950166112956811,0.04225352112676056,0.0,0.0,0.0,#DIV/0!
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",0.0,0.0,#DIV/0!,0.2554347826086957,0.23333333333333334,0.2765957446808511,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.007575757575757576,0.01834862385321101,0.0,0.0,0.0,0.0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.0,0.0,0.0,0.031914893617021274,0.0,0.09041095890410959,0.05069124423963134,0.1,0.0
10,Suffolk County (Northwest)--Smithtown Town PUMA,0.04832214765100671,0.012135922330097087,0.09309309309309309,0.10922330097087378,0.029411764705882353,0.2642857142857143,0.5172413793103449,0.5172413793103449,#DIV/0!
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.0,0.0,0.0,0.07084468664850137,0.0,0.23636363636363636,0.6153846153846154,0.0,1.0
12,Dutchess County (Southwest) PUMA,0.18057921635434412,0.2585551330798479,0.11728395061728394,0.03608247422680412,0.0,0.08366533864541832,0.0,0.0,0.0
13,Ulster County (East) PUMA,0.03345724907063197,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,#DIV/0!
14,Orange County (Northwest) PUMA,0.0,0.0,0.0,0.10795454545454546,0.06372549019607843,0.16891891891891891,0.1440677966101695,0.1650485436893204,0.0
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",0.060206961429915336,0.021172638436482084,0.11358574610244988,0.09864146485528648,0.08461538461538462,0.12098009188361408,0.0,0.0,0.0
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.03357416064598385,0.03782592728608153,0.02773575390821987,0.155893536121673,0.13304721030042918,0.17406143344709898,0.0,0.0,0.0
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",0.051683262209578,0.06128133704735376,0.041666666666666664,0.0537842190016103,0.049464558898521166,0.06118881118881119,0.002631578947368421,0.0034965034965034965,0.0
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.03616636528028933,0.05568445475638051,0.015056461731493099,0.012253233492171545,0.019230769230769232,0.0,0.0,0.0,0.0
19,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,0.16826923076923078,0.1984251968503937,0.12098765432098765,0.2684563758389262,0.36363636363636365,0.0
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.05387647831800263,0.07888631090487239,0.021212121212121213,0.0761904761904762,0.0,0.2121684867394696,0.0,0.0,0.0
21,Orange County (Northeast)--Greater Newburgh City PUMA,0.0,0.0,0.0,0.019543973941368076,0.0,0.05084745762711865,0.5466666666666666,0.6119402985074627,0.0
22,Suffolk County (East) PUMA,0.0,0.0,0.0,0.028553693358162633,0.0,0.0515695067264574,0.0,0.0,0.0
23,Tompkins County PUMA,0.019769357495881382,0.0,0.040955631399317405,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Monroe County (Central)--Rochester City (East) PUMA,0.0,0.0,0.0,0.12444444444444444,0.15053763440860216,0.0,0.45454545454545453,0.45454545454545453,#DIV/0!
25,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.07103825136612021,0.0,0.07975460122699386,0.0,#DIV/0!,0.0
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.3142857142857143,0.3525641025641026,0.0,0.05161290322580645,0.05947955390334572,0.0,0.0,0.0,0.0
27,Chautauqua County PUMA,0.0,0.0,0.0,0.08074534161490683,0.0,0.19696969696969696,0.0,0.0,#DIV/0!
28,Genesee & Orleans Counties PUMA,0.0,#DIV/0!,0.0,0.1414141414141414,0.0,0.2916666666666667,#DIV/0!,#DIV/0!,#DIV/0!
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.038346262341325814,0.0199203187250996,0.05582274132600481,0.08246460245837871,0.09219858156028368,0.07064093728463129,0.08343868520859671,0.03171953255425709,0.24479166666666666
